type,bruteForce,branchAndBound



NR,1391887,1376755
NR,330973,330973
NR,2057965,1983295
NR,1194019,42810
NR,102476,11
NR,1887194,1887160
NR,2097144,1
NR,1394210,1
NR,7006,7004
NR,2097149,1275333
NR,1631078,1340822
NR,2094684,1014024
NR,18075,5146
NR,696226,695722
NR,2097055,1
NR,2734,2460
NR,1546165,1545793
NR,2097114,1
NR,2096699,1
NR,2090882,5192
NR,18904,17003
NR,1980402,1
NR,2068474,1
NR,1692417,1
NR,2095275,1
NR,2096916,1
NR,2091272,2091268
NR,9199,9182
NR,936679,936679
NR,785,587
NR,2092435,1
NR,1795962,3371
NR,1832734,1
NR,2042846,9033
NR,1236751,1
NR,893732,813119
NR,2097005,276
NR,2096582,1
NR,91842,91834
NR,9240,4467
NR,2066698,1
NR,168048,168012
NR,903036,1
NR,2083077,1
NR,329619,11652
NR,1211501,756536
NR,2096868,1
NR,2097102,2097006
NR,867475,35
NR,2073573,1
NR,1760,602
NR,126142,74772
NR,2095503,2081957
NR,508873,508873
NR,1927966,1
NR,2097147,1
NR,288613,286853
NR,2031945,1
NR,2096507,1
NR,2091269,432054
NR,2083244,1970040
NR,2097043,1
NR,442642,1
NR,828494,42
NR,262791,61
NR,417880,399386
NR,2097150,1
NR,2080896,2080850
NR,1409059,1
NR,165,94
NR,2095588,2094894
NR,1508350,580634
NR,2072239,959285
NR,2085706,1
NR,449,172
NR,2094464,2044226
NR,2088685,1
NR,5844,999
NR,2095092,1583746
NR,2096415,1791325
NR,2065014,1
NR,548,462
NR,160,152
NR,64632,635
NR,2093017,1
NR,1759626,1
NR,724,259
NR,2087713,1
NR,57293,1
NR,2096434,1664578
NR,1737569,229
NR,152051,1
NR,469,237
NR,10033,297
NR,2097129,1724983
NR,596330,570505
NR,2088202,1
NR,1900343,35876
NR,1801874,1
NR,20131,20118
NR,28409,18058
NR,189318,189142
NR,2096699,1069237
NR,2096720,1
NR,554018,26
NR,1891540,1
NR,2125,518
NR,1790447,1464706
NR,92069,92063
NR,2032624,1
NR,3348,971
NR,1896,583
NR,1717230,1
NR,216000,25633
NR,569505,1
NR,2095652,1
NR,12244,3371
NR,165,155
NR,213,168
NR,2097125,1
NR,3932,3932
NR,1771741,26073
NR,1315758,1
NR,153991,153945
NR,113923,106370
NR,2034799,1
NR,1878409,1
NR,400572,38
NR,2037251,5932
NR,28605,1
NR,2025035,1
NR,52310,7239
NR,2097150,525054
NR,1387595,1241873
NR,2094940,1
NR,358830,90072
NR,1701106,1
NR,2095237,750750
NR,2096775,1939387
NR,16673,92
NR,1316,1316
NR,9964,6788
NR,2095311,2070901
NR,9363,2233
NR,2088678,1
NR,1201351,643846
NR,1480,473
NR,2062219,1
NR,2096042,1
NR,711355,708572
NR,1961879,1
NR,77,54
NR,5506,5506
NR,2081829,624469
NR,1600572,1
NR,2544,1097
NR,2097131,1
NR,498804,410423
NR,2097038,2095644
NR,1495063,1
NR,9664,6585
NR,2083378,1497945
NR,1935657,1
NR,5970,2446
NR,9637,7841
NR,272033,1
NR,505310,1
NR,2067280,93
NR,3169,2021
NR,306338,236
NR,2096810,1
NR,2052217,1
NR,2097142,1
NR,215221,198817
