n,type,measured_time_nanoseconds,average_error,maximum_error
4,NK,1023130,85.4589,1752
10,NK,2787467,236.281,2093
15,NK,4915581,271.709,1753
20,NK,8950566,313.381,2084
22,NK,9831265,344.315,2247
25,NK,10748814,397.419,2012
27,NK,11160035,340.15,2059
30,NK,13349153,390.102,2009
32,NK,13979067,390.527,2149
35,NK,15345648,442.788,2189
37,NK,16361627,421.479,1926
40,NK,19867411,422.002,2387
4,ZKC,896564,439.605,1948
10,ZKC,2573392,795.244,1886
15,ZKC,4454881,808.224,1949
20,ZKC,8093891,886.004,1971
22,ZKC,8995949,835.545,2052
25,ZKC,10152768,850.373,2078
27,ZKC,10830362,878.906,2050
30,ZKC,12102121,910.164,1905
32,ZKC,12714778,871.693,1937
35,ZKC,16224100,870.487,1899
37,ZKC,17797231,838.13,2150
40,ZKC,18773410,863.399,2024
4,ZKW,1719605,3.93389,524
10,ZKW,1486868,88.5051,1509
15,ZKW,1491608,111.386,1458
20,ZKW,1394572,127.526,1291
22,ZKW,1348527,141.385,1140
25,ZKW,1131235,158.632,1834
27,ZKW,1004461,125.043,794
30,ZKW,999458,150.425,1927
32,ZKW,987660,137.028,1156
35,ZKW,988641,109.906,962
37,ZKW,924280,179.148,1284
40,ZKW,1359696,227,1162
