n,type,measured_time_nanoseconds,average_error,maximum_error
4,NK,655908,106.585,1752
10,NK,1790310,246.912,2093
15,NK,3156213,273.623,1753
20,NK,4947254,315.479,2084
22,NK,5594007,347.136,2247
25,NK,6563458,398.754,2012
27,NK,6963026,343.439,2059
30,NK,8075446,390.267,2009
32,NK,8684332,390.527,2149
35,NK,9583127,442.788,2189
37,NK,10309625,422.882,1926
40,NK,11295413,422.002,2387
4,ZKC,648870,454.645,1948
10,ZKC,1788792,795.244,1886
15,ZKC,3154776,808.224,1949
20,ZKC,4853717,886.004,1971
22,ZKC,5543881,835.545,2052
25,ZKC,6412656,850.373,2078
27,ZKC,6979546,878.906,2050
30,ZKC,7921409,910.164,1905
32,ZKC,8709789,871.693,1937
35,ZKC,9877141,870.487,1899
37,ZKC,10322828,838.13,2150
40,ZKC,11257953,863.399,2024
4,ZKW,1239325,3100.7,257828
10,ZKW,1014867,1766.39,27984
15,ZKW,949420,1249.18,10023
20,ZKW,731590,1334.86,7621
22,ZKW,876706,2802.71,65928
25,ZKW,675697,2110.54,22282
27,ZKW,630441,1891.09,27348
30,ZKW,629606,2766.97,32160
32,ZKW,612458,1791.39,14718
35,ZKW,607433,1433.97,11392
37,ZKW,549024,1468.78,3911
40,ZKW,705952,1413.16,6415
