n,type,measured_time_nanoseconds,average_error,maximum_error
4,NK,1019846,85.4589,1752
10,NK,3007277,236.281,2093
15,NK,5181491,271.709,1753
20,NK,8692858,313.381,2084
22,NK,9717291,344.315,2247
25,NK,11493659,397.419,2012
27,NK,13022735,340.15,2059
30,NK,14758812,390.102,2009
32,NK,15976083,390.527,2149
35,NK,17744257,442.788,2189
37,NK,18702042,421.479,1926
40,NK,20622166,422.002,2387
4,ZKC,968572,439.605,1948
10,ZKC,2666522,795.244,1886
15,ZKC,4578833,808.224,1949
20,ZKC,8137570,886.004,1971
22,ZKC,9201042,835.545,2052
25,ZKC,10445843,850.373,2078
27,ZKC,11271320,878.906,2050
30,ZKC,12632597,910.164,1905
32,ZKC,13564901,871.693,1937
35,ZKC,16349599,870.487,1899
37,ZKC,19063112,838.13,2150
40,ZKC,20174410,863.399,2024
4,ZKW,1945444,3.93389,524
10,ZKW,1759148,88.5051,1509
15,ZKW,1750783,111.386,1458
20,ZKW,1327710,127.526,1291
22,ZKW,1499111,141.385,1140
25,ZKW,1289089,158.632,1834
27,ZKW,1177279,125.043,794
30,ZKW,1240263,150.425,1927
32,ZKW,1142076,137.028,1156
35,ZKW,1215507,109.906,962
37,ZKW,1073758,179.148,1284
40,ZKW,1321136,227,1162
