n,type,runtime_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items
10,IS,3203,300,150,0.8,uni,1,bal
15,IS,18283,300,150,0.8,uni,1,bal
20,IS,88305,300,150,0.8,uni,1,bal
25,IS,332513,300,150,0.8,uni,1,bal
30,IS,1196811,300,150,0.8,uni,1,bal
20,MC,83101,100,150,0.8,uni,1,bal
20,MC,81661,200,150,0.8,uni,1,bal
20,MC,80454,300,150,0.8,uni,1,bal
20,MC,79522,400,150,0.8,uni,1,bal
20,MC,80371,500,150,0.8,uni,1,bal
20,MW,80887,300,50,0.8,uni,1,bal
20,MW,84184,300,100,0.8,uni,1,bal
20,MW,86363,300,150,0.8,uni,1,bal
20,MW,84979,300,200,0.8,uni,1,bal
20,MW,83948,300,250,0.8,uni,1,bal
20,CWR,84114,300,150,0.5,uni,1,bal
20,CWR,90302,300,150,0.6,uni,1,bal
20,CWR,88270,300,150,0.7,uni,1,bal
20,CWR,91065,300,150,0.8,uni,1,bal
20,CWR,93744,300,150,0.9,uni,1,bal
20,CWC,324651,300,150,0.8,corr,1,bal
20,CWC,313313,300,150,0.8,strong,1,bal
20,CWC,82460,300,150,0.8,uni,1,bal
20,GR,90032,300,150,0.8,uni,0.6,heavy
20,GR,115285,300,150,0.8,uni,0.6,light
20,GR,109946,300,150,0.8,uni,0.7,heavy
20,GR,81924,300,150,0.8,uni,0.7,light
20,GR,85314,300,150,0.8,uni,0.9,heavy
20,GR,83726,300,150,0.8,uni,0.9,light
20,PERM,413538,300,150,0.8,uni,1,bal
