n,type,runtime_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items
10,IS,5722,300,150,0.8,uni,1,bal
15,IS,183934,300,150,0.8,uni,1,bal
20,IS,6309658,300,150,0.8,uni,1,bal
25,IS,186352480,300,150,0.8,uni,1,bal
30,IS,5855613700,300,150,0.8,uni,1,bal
20,MC,5239361,100,150,0.8,uni,1,bal
20,MC,5589023,200,150,0.8,uni,1,bal
20,MC,5920387,300,150,0.8,uni,1,bal
20,MC,5743621,400,150,0.8,uni,1,bal
20,MC,5808986,500,150,0.8,uni,1,bal
20,MW,5373679,300,50,0.8,uni,1,bal
20,MW,5713747,300,100,0.8,uni,1,bal
20,MW,5769141,300,150,0.8,uni,1,bal
20,MW,5898525,300,200,0.8,uni,1,bal
20,MW,5939228,300,250,0.8,uni,1,bal
20,CWR,5726847,300,150,0.5,uni,1,bal
20,CWR,5703489,300,150,0.6,uni,1,bal
20,CWR,6048831,300,150,0.7,uni,1,bal
20,CWR,5869093,300,150,0.8,uni,1,bal
20,CWR,5635896,300,150,0.9,uni,1,bal
20,CWC,5974832,300,150,0.8,corr,1,bal
20,CWC,5825739,300,150,0.8,strong,1,bal
20,CWC,5879059,300,150,0.8,uni,1,bal
20,GR,5944790,300,150,0.8,uni,0.6,heavy
20,GR,5911426,300,150,0.8,uni,0.6,light
20,GR,5843935,300,150,0.8,uni,0.7,heavy
20,GR,5770392,300,150,0.8,uni,0.7,light
20,GR,6073070,300,150,0.8,uni,0.9,heavy
20,GR,5834031,300,150,0.8,uni,0.9,light
20,PERM,26834090,300,150,0.8,uni,1,bal
