n,type,runtime_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items
10,IS,157304,300,150,0.8,uni,1,bal
15,IS,413508,300,150,0.8,uni,1,bal
20,IS,744970,300,150,0.8,uni,1,bal
25,IS,1088716,300,150,0.8,uni,1,bal
30,IS,1719820,300,150,0.8,uni,1,bal
20,MC,224678,100,150,0.8,uni,1,bal
20,MC,505505,200,150,0.8,uni,1,bal
20,MC,768607,300,150,0.8,uni,1,bal
20,MC,967935,400,150,0.8,uni,1,bal
20,MC,1213361,500,150,0.8,uni,1,bal
20,MW,670484,300,50,0.8,uni,1,bal
20,MW,743271,300,100,0.8,uni,1,bal
20,MW,723368,300,150,0.8,uni,1,bal
20,MW,746611,300,200,0.8,uni,1,bal
20,MW,734702,300,250,0.8,uni,1,bal
20,CWR,682278,300,150,0.5,uni,1,bal
20,CWR,749557,300,150,0.6,uni,1,bal
20,CWR,765579,300,150,0.7,uni,1,bal
20,CWR,746234,300,150,0.8,uni,1,bal
20,CWR,760791,300,150,0.9,uni,1,bal
20,CWC,738792,300,150,0.8,corr,1,bal
20,CWC,737997,300,150,0.8,strong,1,bal
20,CWC,741633,300,150,0.8,uni,1,bal
20,GR,743431,300,150,0.8,uni,0.6,heavy
20,GR,778138,300,150,0.8,uni,0.6,light
20,GR,711224,300,150,0.8,uni,0.7,heavy
20,GR,707097,300,150,0.8,uni,0.7,light
20,GR,741463,300,150,0.8,uni,0.9,heavy
20,GR,724081,300,150,0.8,uni,0.9,light
20,PERM,3829936,300,150,0.8,uni,1,bal
