n,type,measured_time_microseconds,maximum_cost,maximum_weight,capacity_to_weight_ratio,cost_weight_correlation,granularity_exponent,majority_of_items,average_error,maximum_error
10,IS,1071,300,150,0.8,uni,1,bal,0.0109178,0.119669
15,IS,1893,300,150,0.8,uni,1,bal,0.00650656,0.0609822
20,IS,3028,300,150,0.8,uni,1,bal,0.00600065,0.0462898
25,IS,3798,300,150,0.8,uni,1,bal,0.00524071,0.0327115
30,IS,4803,300,150,0.8,uni,1,bal,0.00406659,0.031036
20,MC,2586,100,150,0.8,uni,1,bal,0.00606848,0.0464135
20,MC,2953,200,150,0.8,uni,1,bal,0.00605687,0.0465608
20,MC,3252,300,150,0.8,uni,1,bal,0.00600065,0.0462898
20,MC,2647,400,150,0.8,uni,1,bal,0.00578456,0.0463945
20,MC,2904,500,150,0.8,uni,1,bal,0.0058315,0.0464672
20,MW,2725,300,50,0.8,uni,1,bal,0.00595002,0.0501382
20,MW,2644,300,100,0.8,uni,1,bal,0.00603727,0.0466736
20,MW,2837,300,150,0.8,uni,1,bal,0.00600065,0.0462898
20,MW,3038,300,200,0.8,uni,1,bal,0.00598328,0.0466736
20,MW,2934,300,250,0.8,uni,1,bal,0.00600451,0.0462898
20,CWR,2583,300,150,0.5,uni,1,bal,0.00600065,0.0462898
20,CWR,2920,300,150,0.6,uni,1,bal,0.00600065,0.0462898
20,CWR,3160,300,150,0.7,uni,1,bal,0.00600065,0.0462898
20,CWR,2933,300,150,0.8,uni,1,bal,0.00600065,0.0462898
20,CWR,2613,300,150,0.9,uni,1,bal,0.00600065,0.0462898
20,CWC,2904,300,150,0.8,corr,1,bal,0.0357452,0.110672
20,CWC,3057,300,150,0.8,strong,1,bal,0.0479312,0.0937151
20,CWC,2937,300,150,0.8,uni,1,bal,0.00600065,0.0462898
20,GR,3118,300,150,0.8,uni,0.6,heavy,0.0056509,0.0405201
20,GR,2887,300,150,0.8,uni,0.6,light,0.00736543,0.0522034
20,GR,2927,300,150,0.8,uni,0.7,heavy,0.0048711,0.0390811
20,GR,2813,300,150,0.8,uni,0.7,light,0.0065668,0.0806338
20,GR,2941,300,150,0.8,uni,0.9,heavy,0.00517511,0.0399449
20,GR,2776,300,150,0.8,uni,0.9,light,0.0073609,0.0549533
20,PERM,13488,300,150,0.8,uni,1,bal,0.00604328,0.0462898
