n,measured_time_milliseconds,average_error,population_size,mutation_rate,crossover_rate,tournament_size,num_elites,crossover_type,num_generations
30,5034,0.0274304,30,0.01,0.8,2,1,ONE_POINT,30
30,8771,0.0227003,30,0.01,0.8,2,1,ONE_POINT,50
30,17795,0.0182324,30,0.01,0.8,2,1,ONE_POINT,100
30,5480,0.0268285,30,0.01,0.8,2,1,TWO_POINT,30
30,8737,0.0212404,30,0.01,0.8,2,1,TWO_POINT,50
30,17219,0.0154468,30,0.01,0.8,2,1,TWO_POINT,100
30,5683,0.0322629,30,0.01,0.8,2,3,ONE_POINT,30
30,9097,0.0277088,30,0.01,0.8,2,3,ONE_POINT,50
30,17795,0.0191905,30,0.01,0.8,2,3,ONE_POINT,100
30,5456,0.0282374,30,0.01,0.8,2,3,TWO_POINT,30
30,8907,0.0231348,30,0.01,0.8,2,3,TWO_POINT,50
30,17469,0.0179891,30,0.01,0.8,2,3,TWO_POINT,100
30,5876,0.0334311,30,0.01,0.8,2,5,ONE_POINT,30
30,9219,0.0300322,30,0.01,0.8,2,5,ONE_POINT,50
30,18040,0.0207487,30,0.01,0.8,2,5,ONE_POINT,100
30,5595,0.0334202,30,0.01,0.8,2,5,TWO_POINT,30
30,9054,0.0260437,30,0.01,0.8,2,5,TWO_POINT,50
30,17716,0.0200151,30,0.01,0.8,2,5,TWO_POINT,100
30,6950,0.0400048,30,0.01,0.8,4,1,ONE_POINT,30
30,11251,0.0321772,30,0.01,0.8,4,1,ONE_POINT,50
30,26417,0.0267806,30,0.01,0.8,4,1,ONE_POINT,100
30,7069,0.0388402,30,0.01,0.8,4,1,TWO_POINT,30
30,11848,0.0343311,30,0.01,0.8,4,1,TWO_POINT,50
30,23078,0.0262932,30,0.01,0.8,4,1,TWO_POINT,100
30,7587,0.0399021,30,0.01,0.8,4,3,ONE_POINT,30
30,12038,0.0392341,30,0.01,0.8,4,3,ONE_POINT,50
30,23679,0.0293821,30,0.01,0.8,4,3,ONE_POINT,100
30,7482,0.0412804,30,0.01,0.8,4,3,TWO_POINT,30
30,11843,0.0348874,30,0.01,0.8,4,3,TWO_POINT,50
30,23592,0.0280289,30,0.01,0.8,4,3,TWO_POINT,100
30,7482,0.0419078,30,0.01,0.8,4,5,ONE_POINT,30
30,13351,0.0377734,30,0.01,0.8,4,5,ONE_POINT,50
30,25203,0.0324403,30,0.01,0.8,4,5,ONE_POINT,100
30,7398,0.0382657,30,0.01,0.8,4,5,TWO_POINT,30
30,12511,0.0343232,30,0.01,0.8,4,5,TWO_POINT,50
30,24284,0.0283259,30,0.01,0.8,4,5,TWO_POINT,100
30,8924,0.0431989,30,0.01,0.8,6,1,ONE_POINT,30
30,14578,0.037564,30,0.01,0.8,6,1,ONE_POINT,50
