generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-0.9645,0
28,283,-0.6455,0
29,284,-0.114875,0
30,289,1.79588,0
31,290,10.5328,0
32,292,51.2904,0
33,292,101.478,0
34,293,129.941,0
35,293,149.729,0
36,293,163.45,0
37,293,171.408,0
38,293,173.944,0
39,293,178.906,0
40,293,183.401,0
41,293,186.479,0
42,293,185.731,0
43,293,190.551,0
44,293,190.902,0
45,293,193.359,0
46,293,194.016,0
47,293,192.444,0
48,293,191.279,0
49,293,190.224,0
50,293,190.371,0
51,293,190.969,0
52,293,189.486,0
53,293,189.507,0
54,293,190.266,0
55,293,191.445,0
56,293,194.774,0
57,293,193.923,0
58,293,193.971,0
59,293,195.382,0
60,293,194.272,0
61,293,193.53,0
62,293,193.855,0
63,293,194.686,0
64,293,191.885,0
65,293,191.832,0
66,293,193.43,0
67,293,193.274,0
68,293,194.875,0
69,293,193.445,0
70,293,193.862,0
71,293,194.202,0
72,293,193.8,0
73,293,191.721,0
74,293,193.106,0
75,293,191.854,0
76,293,191.207,0
77,293,191.469,0
78,293,191.691,0
79,293,190.58,0
80,293,190.691,0
81,293,188.004,0
82,293,187.314,0
83,293,187.221,0
84,293,187.559,0
85,293,187.268,0
86,293,185.936,0
87,293,187.322,0
88,293,187.756,0
89,293,187.574,0
90,293,186.776,0
91,293,185.935,0
92,293,184.704,0
93,293,186.714,0
94,293,187.744,0
95,293,190.469,0
96,293,188.105,0
97,293,189.22,0
98,293,191.464,0
99,293,192.864,0
100,293,191.733,0
101,293,190.508,0
102,293,190.24,0
103,293,190.361,0
104,293,190.157,0
105,293,190.773,0
106,293,191.96,0
107,293,190.042,0
108,293,189.732,0
109,293,188.788,0
110,293,190.023,0
111,293,188.815,0
112,293,185.57,0
113,293,185.792,0
114,293,188.272,0
115,293,188.49,0
116,293,190.855,0
117,293,191.321,0
118,293,191.798,0
119,293,191.679,0
120,293,193.18,0
121,293,194.118,0
122,293,192.493,0
123,293,192.435,0
124,293,191.524,0
125,293,191.163,0
126,293,192.232,0
127,293,195.062,0
128,293,193.54,0
129,293,192.185,0
130,293,193.288,0
131,293,193.237,0
132,293,195.124,0
133,293,193.802,0
134,293,192.403,0
135,293,192.518,0
136,293,193.271,0
