generation,best_fitness,average_fitness,optimal_solution
0,-1,1027.04,0
1,34004,265.102,0
2,34004,817.718,0
3,34004,1741.39,0
4,34004,2981.96,0
5,34004,5879.98,0
6,34004,10561.5,0
7,34004,18194.4,0
8,34327,23563.6,0
9,34327,26473.2,0
10,35955,29376.5,0
11,35955,31569,0
12,36045,34234.8,0
13,36698,34840.6,0
14,36868,35902,0
15,37190,36546.2,0
16,37190,37074.4,0
17,37190,37189,0
18,37190,37190,0
19,37190,37190,0
20,37190,37190,0
21,37190,37190,0
22,37190,37190,0
23,37190,37190,0
24,37190,37190,0
25,37190,37190,0
26,37190,37190,0
27,37190,37190,0
28,37190,37190,0
29,37190,37190,0
30,37190,37190,0
31,37190,37190,0
32,37190,37190,0
33,37190,37190,0
34,37190,37190,0
35,37190,37190,0
36,37190,37190,0
37,37190,37190,0
38,37190,37190,0
39,37190,37190,0
40,37190,37190,0
41,37190,37190,0
42,37190,37190,0
43,37190,37190,0
44,37190,37190,0
45,37190,37190,0
46,37190,37190,0
47,37190,37190,0
48,37190,37190,0
49,37190,37190,0
50,37190,37190,0
51,37190,37190,0
52,37190,37190,0
53,37190,37190,0
54,37190,37190,0
55,37190,37190,0
56,37190,37190,0
57,37190,37190,0
58,37190,37190,0
59,37190,37190,0
60,37190,37190,0
61,37190,37190,0
62,37190,37190,0
63,37190,37190,0
64,37190,37190,0
65,37190,37190,0
66,37190,37190,0
67,37190,37190,0
68,37190,37190,0
69,37190,37190,0
70,37190,37190,0
71,37190,37190,0
72,37190,37190,0
73,37190,37190,0
74,37190,37190,0
75,37190,37190,0
76,37190,37190,0
77,37190,37190,0
78,37190,37190,0
79,37190,37190,0
80,37190,37190,0
81,37190,37190,0
