generation,best_fitness,average_fitness,optimal_solution
0,-1,5291.18,0
1,308648,1846.77,0
2,308648,5386.06,0
3,308648,17316.1,0
4,323666,38744.6,0
5,335825,90997.7,0
6,352704,150706,0
7,352704,214737,0
8,353654,254581,0
9,354280,288757,0
10,362137,306997,0
11,362511,328454,0
12,367682,352493,0
13,371509,362384,0
14,375961,366788,0
15,375961,372579,0
16,375961,375111,0
17,375961,375925,0
18,375961,375961,0
19,375961,375961,0
20,375961,375961,0
21,375961,375961,0
22,375961,375961,0
23,375961,375961,0
24,375961,375961,0
25,375961,375961,0
26,375961,375961,0
27,375961,375961,0
28,375961,375961,0
29,375961,375961,0
30,375961,375961,0
31,375961,375961,0
32,375961,375961,0
33,375961,375961,0
34,375961,375961,0
35,375961,375961,0
36,375961,375961,0
37,375961,375961,0
38,375961,375961,0
39,375961,375961,0
40,375961,375961,0
41,375961,375961,0
42,375961,375961,0
43,375961,375961,0
44,375961,375961,0
45,375961,375961,0
46,375961,375961,0
47,375961,375961,0
48,375961,375961,0
49,375961,375961,0
50,375961,375961,0
51,375961,375961,0
52,375961,375961,0
53,375961,375961,0
54,375961,375961,0
55,375961,375961,0
56,375961,375961,0
57,375961,375961,0
58,375961,375961,0
59,375961,375961,0
60,375961,375961,0
61,375961,375961,0
62,375961,375961,0
63,375961,375961,0
64,375961,375961,0
65,375961,375961,0
66,375961,375961,0
67,375961,375961,0
68,375961,375961,0
69,375961,375961,0
70,375961,375961,0
71,375961,375961,0
72,375961,375961,0
73,375961,375961,0
74,375961,375961,0
75,375961,375961,0
76,375961,375961,0
77,375961,375961,0
78,375961,375961,0
79,375961,375961,0
80,375961,375961,0
81,375961,375961,0
