generation,best_fitness,average_fitness,optimal_solution
0,14827,4170.42,0
1,14827,7630.18,0
2,15122,9298.16,0
3,16902,10455.8,0
4,17404,11081,0
5,17404,11851.2,0
6,17956,12467.2,0
7,18361,12669.8,0
8,18893,13056.6,0
9,19064,13990.1,0
10,19064,15255.1,0
11,19064,18088.2,0
12,19064,18962.8,0
13,19064,19056.5,0
14,19064,19064,0
15,19064,19064,0
16,19064,19064,0
17,19064,19064,0
18,19064,19064,0
19,19064,19064,0
20,19064,19064,0
21,19064,19064,0
22,19064,19064,0
23,19064,19064,0
24,19064,19064,0
25,19064,19064,0
26,19064,19064,0
27,19064,19064,0
28,19064,19064,0
29,19064,19064,0
30,19064,19064,0
31,19064,19064,0
32,19064,19064,0
33,19064,19064,0
34,19064,19064,0
35,19064,19064,0
36,19064,19064,0
37,19064,19064,0
38,19064,19064,0
39,19064,19064,0
40,19064,19064,0
41,19064,19064,0
42,19064,19064,0
43,19064,19064,0
44,19064,19064,0
45,19064,19064,0
46,19064,19064,0
47,19064,19064,0
48,19064,19064,0
49,19064,19064,0
50,19064,19064,0
51,19064,19064,0
52,19064,19064,0
