generation,best_fitness,average_fitness,optimal_solution
0,74481,17193.6,0
1,74481,31238.1,0
2,74481,38993.7,0
3,79009,43034.8,0
4,79009,45288.9,0
5,79009,48150.7,0
6,79746,49128.2,0
7,79746,53558.9,0
8,79746,58902,0
9,79746,63878.4,0
10,79746,68984.4,0
11,79746,76927,0
12,79746,78998.6,0
13,79746,79746,0
14,79746,79746,0
15,79746,79746,0
16,79746,79746,0
17,79746,79746,0
18,79746,79746,0
19,79746,79746,0
20,79746,79746,0
21,79746,79746,0
22,79746,79746,0
23,79746,79746,0
24,79746,79746,0
25,79746,79746,0
26,79746,79746,0
27,79746,79746,0
28,79746,79746,0
29,79746,79746,0
30,79746,79746,0
31,79746,79746,0
32,79746,79746,0
33,79746,79746,0
34,79746,79746,0
35,79746,79746,0
36,79746,79746,0
37,79746,79746,0
38,79746,79746,0
39,79746,79746,0
40,79746,79746,0
41,79746,79746,0
42,79746,79746,0
43,79746,79746,0
44,79746,79746,0
45,79746,79746,0
46,79746,79746,0
47,79746,79746,0
48,79746,79746,0
49,79746,79746,0
50,79746,79746,0
51,79746,79746,0
52,79746,79746,0
