type,measured_time,variable_number,clauses_number,average_error,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,38,20,78,0,500,3,3,300,none,50,0.03,0.9
N,227,50,201,0,500,3,3,300,none,50,0.03,0.9
N,607,75,310,0,500,3,3,300,none,50,0.03,0.9
M,25,20,78,0,500,3,3,300,none,50,0.03,0.9
M,206,50,201,0,500,3,3,300,none,50,0.03,0.9
M,625,75,310,0,500,3,3,300,none,50,0.03,0.9
A,71,20,88,0,500,3,3,300,none,50,0.03,0.9
A,127,20,91,0,500,3,3,300,none,50,0.03,0.9
A,460986,100,430,0,500,3,3,300,none,50,0.03,0.9
Q,39,20,78,0,500,3,3,300,none,50,0.03,0.9
Q,266,50,201,0,500,3,3,300,none,50,0.03,0.9
Q,922,75,310,0,500,3,3,300,none,50,0.03,0.9
R,31,20,78,0,500,3,3,300,none,50,0.03,0.9
R,267,50,201,0,500,3,3,300,none,50,0.03,0.9
R,812,75,310,0,500,3,3,300,none,50,0.03,0.9
