generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-0.9286,0
66,356,-0.9286,0
67,356,-0.9286,0
68,356,-0.8554,0
69,365,-0.7128,0
70,365,-0.4272,0
71,365,-0.283,0
72,365,-0.0676,0
73,365,-0.4242,0
74,365,-0.636,0
75,365,-0.4896,0
76,365,-0.6378,0
77,365,-0.5646,0
78,365,-0.634,0
79,365,-0.4196,0
80,365,-0.2036,0
81,365,-0.3484,0
82,365,-0.4218,0
83,365,-0.3468,0
84,365,-0.3452,0
85,365,-0.272,0
86,365,-0.0582,0
87,365,0.1576,0
88,365,0.9556,0
89,365,3.2744,0
90,365,9.9436,0
91,365,40.6936,0
92,365,85.3534,0
93,365,106.411,0
94,365,120.589,0
95,365,124.15,0
96,365,127.99,0
97,365,129.029,0
98,365,131.684,0
99,365,131.482,0
100,365,136.136,0
101,365,136.103,0
102,365,141.658,0
103,365,145.869,0
104,365,149.64,0
105,365,151.667,0
106,365,151.173,0
107,365,152.988,0
108,365,151.175,0
109,365,156.763,0
110,365,157.387,0
111,365,157.724,0
112,365,157.105,0
113,365,159.649,0
114,365,162.725,0
115,365,161.783,0
116,365,163.797,0
117,365,170.994,0
118,365,173.424,0
119,365,177.271,0
120,365,177.262,0
121,365,175.953,0
122,365,175.911,0
123,365,180.378,0
124,365,182.662,0
125,365,188.682,0
126,365,186.39,0
127,365,187.503,0
128,365,187.467,0
129,365,193.911,0
130,365,197.149,0
131,365,199.963,0
132,365,202.358,0
133,365,204.836,0
134,365,207.497,0
135,365,210.617,0
136,365,214.138,0
137,365,213.6,0
138,365,216.256,0
139,365,216.329,0
140,365,221.587,0
141,365,222.736,0
142,365,222.36,0
143,365,225.302,0
144,365,233.927,0
145,365,239.563,0
146,365,243.535,0
147,365,246.248,0
148,365,247.451,0
149,365,250.856,0
150,365,251.662,0
151,365,252.888,0
152,365,255.386,0
153,365,254.673,0
154,365,261.436,0
155,365,263.958,0
156,365,269.595,0
157,365,273.197,0
158,365,277.6,0
159,365,281.706,0
160,365,283.926,0
161,365,284.294,0
162,365,285.802,0
163,365,290.127,0
164,365,293.576,0
165,365,297.242,0
166,365,303.188,0
167,365,305.676,0
168,365,305.472,0
169,365,311.254,0
170,365,313.75,0
171,365,318.422,0
172,365,322.385,0
173,365,325.765,0
174,365,328.631,0
175,365,330.743,0
176,365,332.289,0
177,365,332.943,0
178,365,333.257,0
179,365,336.976,0
180,365,338.461,0
181,365,341.96,0
182,365,345.778,0
183,365,347.026,0
184,365,350.324,0
185,365,350.555,0
186,365,353.196,0
187,365,356.416,0
188,365,356.63,0
189,365,357.303,0
190,365,359.199,0
191,365,360.744,0
192,365,361.323,0
193,365,361.916,0
194,365,362.872,0
195,365,363.243,0
196,365,363.389,0
197,365,363.829,0
198,365,363.609,0
199,365,363.898,0
200,365,364.193,0
201,365,364.413,0
202,365,364.78,0
203,365,364.632,0
204,365,364.561,0
205,365,364.488,0
206,365,364.561,0
207,365,364.854,0
208,365,365,0
209,365,365,0
210,365,365,0
