generation,best_fitness,average_fitness,optimal_solution
0,139,9.948,139
1,139,12.694,139
2,139,18.068,139
3,139,21.392,139
4,139,22.846,139
5,139,25.502,139
6,139,25.71,139
7,139,26.252,139
8,139,28.718,139
9,139,32.494,139
10,139,33.858,139
11,139,46.44,139
12,139,69.698,139
13,139,94.112,139
14,139,118.398,139
15,139,130.88,139
16,139,133.68,139
17,139,136.48,139
18,139,137.88,139
19,139,138.44,139
20,139,138.72,139
21,139,138.72,139
22,139,139,139
23,139,139,139
24,139,139,139
25,139,139,139
26,139,139,139
27,139,139,139
28,139,139,139
29,139,139,139
30,139,139,139
