generation,best_fitness,average_fitness,optimal_solution
0,27338,4114.13,0
1,27338,8002.55,0
2,27338,12786.9,0
3,27338,17725.2,0
4,27338,20289.6,0
5,27776,22313.1,0
6,27776,22942.3,0
7,27776,23403.1,0
8,28442,23956.8,0
9,28442,24398,0
10,28442,24710.8,0
11,28442,26068,0
12,28442,26639.8,0
13,29009,27123.9,0
14,29097,27585.7,0
15,29097,27593.2,0
16,29097,27843.1,0
17,29097,28357.6,0
18,29097,28189.4,0
19,29097,28180.5,0
20,29097,28714.3,0
21,29097,28894.6,0
22,29097,28918.8,0
23,29097,29091.8,0
24,29097,29097,0
25,29097,29097,0
26,29097,29097,0
27,29097,29097,0
28,29097,29097,0
29,29097,29097,0
30,29097,29097,0
