generation,best_fitness,average_fitness,optimal_solution
0,31119,24776.4,32123
1,32123,26432.6,32123
2,32123,27497.6,32123
3,32123,28536.8,32123
4,32123,29338,32123
5,32123,30097.6,32123
6,32123,30678.4,32123
7,32123,31262.6,32123
8,32123,31637.5,32123
9,32123,31924,32123
10,32123,32081.8,32123
11,32123,32113.1,32123
12,32123,32123,32123
13,32123,32123,32123
14,32123,32123,32123
15,32123,32123,32123
16,32123,32123,32123
17,32123,32123,32123
18,32123,32123,32123
19,32123,32123,32123
20,32123,32123,32123
