generation,best_fitness,average_fitness,optimal_solution
0,13862,1912.5,0
1,15761,3145.36,0
2,16657,4427.83,0
3,16657,5713.35,0
4,16657,6427.12,0
5,16657,7075.5,0
6,16657,7789.97,0
7,16657,7862.41,0
8,17754,8098.22,0
9,18318,8298.6,0
10,18318,8195.15,0
11,18318,8924.26,0
12,18318,10011.2,0
13,18318,10114,0
14,18318,10737.9,0
15,18318,10637.5,0
16,18318,10489.8,0
17,18845,9964.28,0
18,18845,10606.2,0
19,18845,10508.8,0
20,18845,10940.4,0
21,18845,10694.8,0
22,18845,10947.4,0
23,18845,10796,0
24,18845,10964.5,0
25,18845,11187.6,0
26,18845,11363.3,0
27,18845,10442.5,0
28,18845,10062.8,0
29,18845,9591.31,0
30,18845,8415.76,0
31,18845,8229.3,0
32,18845,7897.36,0
33,18845,9651.74,0
34,18845,11369.6,0
35,18917,12747.2,0
36,18917,14173.7,0
37,18917,15123.3,0
38,18917,15402.8,0
39,18917,14567.3,0
40,18917,14668.8,0
41,18917,15943,0
42,18917,16632.9,0
43,18917,16816.4,0
44,18917,17091.8,0
45,18917,17600.3,0
46,18917,18014.6,0
47,18917,18152.5,0
48,18917,18536.1,0
49,18917,18492,0
50,18917,18407,0
51,18917,18720.6,0
52,18917,18749.1,0
53,18917,18789.8,0
54,18917,18724.2,0
55,18917,18769.7,0
56,18917,18824.8,0
57,18917,18901.8,0
58,18917,18841.3,0
59,18917,18877.5,0
60,18917,18917,0
