generation,best_fitness,average_fitness,optimal_solution
0,107041,30959,0
1,130710,47536.2,0
2,130710,59929.1,0
3,137168,67645,0
4,137168,69338.9,0
5,137168,70556.4,0
6,137168,72554,0
7,137168,74202.3,0
8,145817,73795.2,0
9,145817,75845.5,0
10,145817,75638.2,0
11,145817,84149,0
12,156051,88970,0
13,156051,94277.7,0
14,156051,99202.5,0
15,156051,102638,0
16,156051,101480,0
17,156051,106553,0
18,156051,114408,0
19,157063,121916,0
20,157063,130869,0
21,159380,138650,0
22,159380,135515,0
23,159380,132240,0
24,159380,127258,0
25,159380,135065,0
26,159380,142779,0
27,159380,150463,0
28,159380,156332,0
29,159380,157877,0
30,159380,158268,0
31,159380,159013,0
32,159380,158972,0
33,159380,159061,0
34,159380,158962,0
35,159380,159360,0
36,159380,159380,0
37,159380,159380,0
38,159380,159380,0
39,159380,159380,0
40,159380,159380,0
