type,measured_time,variable_number,clauses_number,average_error,best_fitness_error,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,27925,20,78,1.75295e-05,1.65032e-05,500,2,2,300,none,50,0.05,0.9
N,159644,50,201,0,0,500,2,2,300,none,50,0.05,0.9
N,64579,75,310,0,0,500,2,2,300,none,50,0.05,0.9
M,28531,20,78,1.70138e-06,0,500,2,2,300,none,50,0.05,0.9
M,160808,50,201,0,0,500,2,2,300,none,50,0.05,0.9
M,63361,75,310,0,0,500,2,2,300,none,50,0.05,0.9
A,15543,20,88,0.000229737,0,500,2,2,300,none,50,0.05,0.9
A,53872,20,91,3.42536e-05,0,500,2,2,300,none,50,0.05,0.9
Q,42397,20,78,7.82833e-05,7.82833e-05,500,2,2,300,none,50,0.05,0.9
Q,334533,50,201,0,0,500,2,2,300,none,50,0.05,0.9
Q,272483,75,310,0,0,500,2,2,300,none,50,0.05,0.9
R,33599,20,78,3.51101e-05,3.51101e-05,500,2,2,300,none,50,0.05,0.9
R,339801,50,201,0,0,500,2,2,300,none,50,0.05,0.9
R,263355,75,310,0,0,500,2,2,300,none,50,0.05,0.9
