generation,best_fitness,average_fitness,optimal_solution
0,107,14.68,107
1,107,21.664,107
2,107,28.548,107
3,107,31.972,107
4,107,37.64,107
5,107,39.98,107
6,107,41.8,107
7,107,37.84,107
8,107,41.36,107
9,107,43.032,107
10,107,43.344,107
11,107,47.952,107
12,107,45.692,107
13,107,54.108,107
14,107,60.26,107
15,107,62.404,107
16,107,69.08,107
17,107,76.824,107
18,107,89.628,107
19,107,99.416,107
20,107,106.136,107
21,107,107,107
22,107,107,107
23,107,107,107
24,107,107,107
25,107,107,107
26,107,107,107
27,107,107,107
28,107,107,107
29,107,107,107
30,107,107,107
31,107,107,107
32,107,107,107
33,107,107,107
34,107,107,107
35,107,107,107
36,107,107,107
37,107,107,107
38,107,107,107
39,107,107,107
40,107,107,107
41,107,107,107
42,107,107,107
43,107,107,107
44,107,107,107
45,107,107,107
46,107,107,107
47,107,107,107
48,107,107,107
49,107,107,107
50,107,107,107
51,107,107,107
52,107,107,107
53,107,107,107
54,107,107,107
55,107,107,107
56,107,107,107
57,107,107,107
58,107,107,107
59,107,107,107
60,107,107,107
61,107,107,107
62,107,107,107
63,107,107,107
64,107,107,107
65,107,107,107
66,107,107,107
67,107,107,107
68,107,107,107
69,107,107,107
70,107,107,107
71,107,107,107
72,107,107,107
73,107,107,107
74,107,107,107
75,107,107,107
76,107,107,107
77,107,107,107
78,107,107,107
79,107,107,107
80,107,107,107
81,107,107,107
82,107,107,107
83,107,107,107
84,107,107,107
85,107,107,107
86,107,107,107
87,107,107,107
88,107,107,107
89,107,107,107
90,107,107,107
91,107,107,107
92,107,107,107
93,107,107,107
94,107,107,107
95,107,107,107
96,107,107,107
97,107,107,107
98,107,107,107
99,107,107,107
100,107,107,107
101,107,107,107
102,107,107,107
103,107,107,107
104,107,107,107
105,107,107,107
106,107,107,107
107,107,107,107
108,107,107,107
109,107,107,107
110,107,107,107
111,107,107,107
112,107,107,107
113,107,107,107
114,107,107,107
115,107,107,107
116,107,107,107
117,107,107,107
118,107,107,107
119,107,107,107
120,107,107,107
121,107,107,107
122,107,107,107
123,107,107,107
124,107,107,107
125,107,107,107
126,107,107,107
127,107,107,107
128,107,107,107
129,107,107,107
130,107,107,107
131,107,107,107
132,107,107,107
133,107,107,107
134,107,107,107
135,107,107,107
136,107,107,107
137,107,107,107
138,107,107,107
139,107,107,107
140,107,107,107
141,107,107,107
142,107,107,107
143,107,107,107
144,107,107,107
145,107,107,107
146,107,107,107
147,107,107,107
148,107,107,107
149,107,107,107
150,107,107,107
151,107,107,107
152,107,107,107
153,107,107,107
154,107,107,107
155,107,107,107
156,107,107,107
157,107,107,107
158,107,107,107
159,107,107,107
160,107,107,107
161,107,107,107
162,107,107,107
163,107,107,107
164,107,107,107
165,107,107,107
166,107,107,107
167,107,107,107
168,107,107,107
169,107,107,107
170,107,107,107
171,107,107,107
172,107,107,107
173,107,107,107
174,107,107,107
175,107,107,107
176,107,107,107
177,107,107,107
178,107,107,107
179,107,107,107
180,107,107,107
181,107,107,107
182,107,107,107
183,107,107,107
184,107,107,107
185,107,107,107
186,107,107,107
187,107,107,107
188,107,107,107
189,107,107,107
190,107,107,107
191,107,107,107
192,107,107,107
193,107,107,107
194,107,107,107
195,107,107,107
196,107,107,107
197,107,107,107
198,107,107,107
199,107,107,107
