generation,best_fitness,average_fitness,optimal_solution
0,6403,4658,6403
1,6403,5069.04,6403
2,6403,5357.31,6403
3,6403,5634.86,6403
4,6403,5867.07,6403
5,6403,6051.99,6403
6,6403,6193.81,6403
7,6403,6310.61,6403
8,6403,6367.64,6403
9,6403,6391.74,6403
10,6403,6401.78,6403
11,6403,6403,6403
12,6403,6403,6403
13,6403,6403,6403
14,6403,6403,6403
15,6403,6403,6403
16,6403,6403,6403
17,6403,6403,6403
18,6403,6403,6403
19,6403,6403,6403
20,6403,6403,6403
21,6403,6403,6403
22,6403,6403,6403
23,6403,6403,6403
24,6403,6403,6403
25,6403,6403,6403
26,6403,6403,6403
27,6403,6403,6403
28,6403,6403,6403
29,6403,6403,6403
30,6403,6403,6403
31,6403,6403,6403
32,6403,6403,6403
33,6403,6403,6403
34,6403,6403,6403
35,6403,6403,6403
36,6403,6403,6403
37,6403,6403,6403
38,6403,6403,6403
39,6403,6403,6403
40,6403,6403,6403
41,6403,6403,6403
42,6403,6403,6403
43,6403,6403,6403
44,6403,6403,6403
45,6403,6403,6403
46,6403,6403,6403
47,6403,6403,6403
48,6403,6403,6403
49,6403,6403,6403
50,6403,6403,6403
51,6403,6403,6403
52,6403,6403,6403
53,6403,6403,6403
54,6403,6403,6403
55,6403,6403,6403
56,6403,6403,6403
57,6403,6403,6403
58,6403,6403,6403
59,6403,6403,6403
60,6403,6403,6403
61,6403,6403,6403
62,6403,6403,6403
63,6403,6403,6403
64,6403,6403,6403
65,6403,6403,6403
66,6403,6403,6403
67,6403,6403,6403
68,6403,6403,6403
69,6403,6403,6403
70,6403,6403,6403
71,6403,6403,6403
72,6403,6403,6403
73,6403,6403,6403
74,6403,6403,6403
75,6403,6403,6403
76,6403,6403,6403
77,6403,6403,6403
78,6403,6403,6403
79,6403,6403,6403
80,6403,6403,6403
81,6403,6403,6403
82,6403,6403,6403
83,6403,6403,6403
84,6403,6403,6403
85,6403,6403,6403
86,6403,6403,6403
87,6403,6403,6403
88,6403,6403,6403
89,6403,6403,6403
90,6403,6403,6403
91,6403,6403,6403
92,6403,6403,6403
93,6403,6403,6403
94,6403,6403,6403
95,6403,6403,6403
96,6403,6403,6403
97,6403,6403,6403
98,6403,6403,6403
99,6403,6403,6403
100,6403,6403,6403
101,6403,6403,6403
102,6403,6403,6403
103,6403,6403,6403
104,6403,6403,6403
105,6403,6403,6403
106,6403,6403,6403
107,6403,6403,6403
108,6403,6403,6403
109,6403,6403,6403
110,6403,6403,6403
111,6403,6403,6403
112,6403,6403,6403
113,6403,6403,6403
114,6403,6403,6403
115,6403,6403,6403
116,6403,6403,6403
117,6403,6403,6403
118,6403,6403,6403
119,6403,6403,6403
120,6403,6403,6403
121,6403,6403,6403
122,6403,6403,6403
123,6403,6403,6403
124,6403,6403,6403
125,6403,6403,6403
126,6403,6403,6403
127,6403,6403,6403
128,6403,6403,6403
129,6403,6403,6403
130,6403,6403,6403
131,6403,6403,6403
132,6403,6403,6403
133,6403,6403,6403
134,6403,6403,6403
135,6403,6403,6403
136,6403,6403,6403
137,6403,6403,6403
138,6403,6403,6403
139,6403,6403,6403
140,6403,6403,6403
141,6403,6403,6403
142,6403,6403,6403
143,6403,6403,6403
144,6403,6403,6403
145,6403,6403,6403
146,6403,6403,6403
147,6403,6403,6403
148,6403,6403,6403
149,6403,6403,6403
150,6403,6403,6403
151,6403,6403,6403
152,6403,6403,6403
153,6403,6403,6403
154,6403,6403,6403
155,6403,6403,6403
156,6403,6403,6403
157,6403,6403,6403
158,6403,6403,6403
159,6403,6403,6403
160,6403,6403,6403
161,6403,6403,6403
162,6403,6403,6403
163,6403,6403,6403
164,6403,6403,6403
165,6403,6403,6403
166,6403,6403,6403
167,6403,6403,6403
168,6403,6403,6403
169,6403,6403,6403
170,6403,6403,6403
171,6403,6403,6403
172,6403,6403,6403
173,6403,6403,6403
174,6403,6403,6403
175,6403,6403,6403
176,6403,6403,6403
177,6403,6403,6403
178,6403,6403,6403
179,6403,6403,6403
180,6403,6403,6403
181,6403,6403,6403
182,6403,6403,6403
183,6403,6403,6403
184,6403,6403,6403
185,6403,6403,6403
186,6403,6403,6403
187,6403,6403,6403
188,6403,6403,6403
189,6403,6403,6403
190,6403,6403,6403
191,6403,6403,6403
192,6403,6403,6403
193,6403,6403,6403
194,6403,6403,6403
195,6403,6403,6403
196,6403,6403,6403
197,6403,6403,6403
198,6403,6403,6403
199,6403,6403,6403
