generation,best_fitness,average_fitness,optimal_solution
0,55947,17947.7,0
1,61935,37126.5,0
2,61935,47171.7,0
3,61935,51651.5,0
4,62685,54628.4,0
5,63887,56179.1,0
6,64787,58724.5,0
7,64787,60315.3,0
8,64787,61638.3,0
9,66251,62920.5,0
10,66251,62562.8,0
11,66251,64122,0
12,66251,64235,0
13,66251,65070.3,0
14,66251,65370.7,0
15,66251,65809.6,0
16,66251,65950.7,0
17,66251,65802.8,0
18,66251,66198.2,0
19,66251,66251,0
20,66251,66251,0
21,66251,66251,0
22,66251,66251,0
23,66251,66251,0
24,66251,66251,0
25,66251,66251,0
26,66251,66251,0
27,66251,66251,0
28,66251,66251,0
29,66251,66251,0
30,66251,66251,0
31,66251,66251,0
32,66251,66251,0
33,66251,66251,0
34,66251,66251,0
35,66251,66251,0
36,66251,66251,0
37,66251,66251,0
38,66251,66251,0
39,66251,66251,0
40,66251,66251,0
41,66251,66251,0
42,66251,66251,0
43,66251,66251,0
44,66251,66251,0
45,66251,66251,0
46,66251,66251,0
47,66251,66251,0
48,66251,66251,0
49,66251,66251,0
50,66251,66251,0
51,66251,66251,0
52,66251,66251,0
53,66251,66251,0
54,66251,66251,0
55,66251,66251,0
56,66251,66251,0
57,66251,66251,0
58,66251,66251,0
59,66251,66251,0
60,66251,66251,0
61,66251,66251,0
62,66251,66251,0
63,66251,66251,0
64,66251,66251,0
65,66251,66251,0
66,66251,66251,0
67,66251,66251,0
68,66251,66251,0
69,66251,66251,0
70,66251,66251,0
71,66251,66251,0
72,66251,66251,0
73,66251,66251,0
74,66251,66251,0
75,66251,66251,0
76,66251,66251,0
77,66251,66251,0
78,66251,66251,0
79,66251,66251,0
80,66251,66251,0
81,66251,66251,0
82,66251,66251,0
83,66251,66251,0
84,66251,66251,0
85,66251,66251,0
86,66251,66251,0
87,66251,66251,0
88,66251,66251,0
89,66251,66251,0
90,66251,66251,0
91,66251,66251,0
92,66251,66251,0
93,66251,66251,0
94,66251,66251,0
95,66251,66251,0
96,66251,66251,0
97,66251,66251,0
98,66251,66251,0
99,66251,66251,0
100,66251,66251,0
101,66251,66251,0
102,66251,66251,0
103,66251,66251,0
104,66251,66251,0
105,66251,66251,0
106,66251,66251,0
107,66251,66251,0
108,66251,66251,0
109,66251,66251,0
110,66251,66251,0
111,66251,66251,0
112,66251,66251,0
113,66251,66251,0
114,66251,66251,0
115,66251,66251,0
116,66251,66251,0
117,66251,66251,0
118,66251,66251,0
119,66251,66251,0
120,66251,66251,0
121,66251,66251,0
122,66251,66251,0
123,66251,66251,0
124,66251,66251,0
125,66251,66251,0
126,66251,66251,0
127,66251,66251,0
128,66251,66251,0
129,66251,66251,0
130,66251,66251,0
131,66251,66251,0
132,66251,66251,0
133,66251,66251,0
134,66251,66251,0
135,66251,66251,0
136,66251,66251,0
137,66251,66251,0
138,66251,66251,0
139,66251,66251,0
140,66251,66251,0
141,66251,66251,0
142,66251,66251,0
143,66251,66251,0
144,66251,66251,0
145,66251,66251,0
146,66251,66251,0
147,66251,66251,0
148,66251,66251,0
149,66251,66251,0
150,66251,66251,0
151,66251,66251,0
152,66251,66251,0
153,66251,66251,0
154,66251,66251,0
155,66251,66251,0
156,66251,66251,0
157,66251,66251,0
158,66251,66251,0
159,66251,66251,0
160,66251,66251,0
161,66251,66251,0
162,66251,66251,0
163,66251,66251,0
164,66251,66251,0
165,66251,66251,0
166,66251,66251,0
167,66251,66251,0
168,66251,66251,0
169,66251,66251,0
170,66251,66251,0
171,66251,66251,0
172,66251,66251,0
173,66251,66251,0
174,66251,66251,0
175,66251,66251,0
176,66251,66251,0
177,66251,66251,0
178,66251,66251,0
179,66251,66251,0
180,66251,66251,0
181,66251,66251,0
182,66251,66251,0
183,66251,66251,0
184,66251,66251,0
185,66251,66251,0
186,66251,66251,0
187,66251,66251,0
188,66251,66251,0
189,66251,66251,0
190,66251,66251,0
191,66251,66251,0
192,66251,66251,0
193,66251,66251,0
194,66251,66251,0
195,66251,66251,0
196,66251,66251,0
197,66251,66251,0
198,66251,66251,0
199,66251,66251,0
