generation,best_fitness,average_fitness,optimal_solution
0,1440,845.22,1574
1,1440,926.084,1574
2,1574,1024.24,1574
3,1574,1098.01,1574
4,1574,1166.59,1574
5,1574,1269.72,1574
6,1574,1340.88,1574
7,1574,1434.33,1574
8,1574,1502.26,1574
9,1574,1544.41,1574
10,1574,1561.67,1574
11,1574,1570.64,1574
12,1574,1574,1574
13,1574,1574,1574
14,1574,1574,1574
15,1574,1574,1574
16,1574,1574,1574
17,1574,1574,1574
18,1574,1574,1574
19,1574,1574,1574
20,1574,1574,1574
21,1574,1574,1574
22,1574,1574,1574
23,1574,1574,1574
24,1574,1574,1574
25,1574,1574,1574
26,1574,1574,1574
27,1574,1574,1574
28,1574,1574,1574
29,1574,1574,1574
30,1574,1574,1574
31,1574,1574,1574
32,1574,1574,1574
33,1574,1574,1574
34,1574,1574,1574
35,1574,1574,1574
36,1574,1574,1574
37,1574,1574,1574
38,1574,1574,1574
39,1574,1574,1574
40,1574,1574,1574
41,1574,1574,1574
42,1574,1574,1574
43,1574,1574,1574
44,1574,1574,1574
45,1574,1574,1574
46,1574,1574,1574
47,1574,1574,1574
48,1574,1574,1574
49,1574,1574,1574
50,1574,1574,1574
51,1574,1574,1574
52,1574,1574,1574
53,1574,1574,1574
54,1574,1574,1574
55,1574,1574,1574
56,1574,1574,1574
57,1574,1574,1574
58,1574,1574,1574
59,1574,1574,1574
60,1574,1574,1574
61,1574,1574,1574
62,1574,1574,1574
63,1574,1574,1574
64,1574,1574,1574
65,1574,1574,1574
66,1574,1574,1574
67,1574,1574,1574
68,1574,1574,1574
69,1574,1574,1574
70,1574,1574,1574
71,1574,1574,1574
72,1574,1574,1574
73,1574,1574,1574
74,1574,1574,1574
75,1574,1574,1574
76,1574,1574,1574
77,1574,1574,1574
78,1574,1574,1574
79,1574,1574,1574
80,1574,1574,1574
81,1574,1574,1574
82,1574,1574,1574
83,1574,1574,1574
84,1574,1574,1574
85,1574,1574,1574
86,1574,1574,1574
87,1574,1574,1574
88,1574,1574,1574
89,1574,1574,1574
90,1574,1574,1574
91,1574,1574,1574
92,1574,1574,1574
93,1574,1574,1574
94,1574,1574,1574
95,1574,1574,1574
96,1574,1574,1574
97,1574,1574,1574
98,1574,1574,1574
99,1574,1574,1574
100,1574,1574,1574
101,1574,1574,1574
102,1574,1574,1574
103,1574,1574,1574
104,1574,1574,1574
105,1574,1574,1574
106,1574,1574,1574
107,1574,1574,1574
108,1574,1574,1574
109,1574,1574,1574
110,1574,1574,1574
111,1574,1574,1574
112,1574,1574,1574
113,1574,1574,1574
114,1574,1574,1574
115,1574,1574,1574
116,1574,1574,1574
117,1574,1574,1574
118,1574,1574,1574
119,1574,1574,1574
120,1574,1574,1574
121,1574,1574,1574
122,1574,1574,1574
123,1574,1574,1574
124,1574,1574,1574
125,1574,1574,1574
126,1574,1574,1574
127,1574,1574,1574
128,1574,1574,1574
129,1574,1574,1574
130,1574,1574,1574
131,1574,1574,1574
132,1574,1574,1574
133,1574,1574,1574
134,1574,1574,1574
135,1574,1574,1574
136,1574,1574,1574
137,1574,1574,1574
138,1574,1574,1574
139,1574,1574,1574
140,1574,1574,1574
141,1574,1574,1574
142,1574,1574,1574
143,1574,1574,1574
144,1574,1574,1574
145,1574,1574,1574
146,1574,1574,1574
147,1574,1574,1574
148,1574,1574,1574
149,1574,1574,1574
150,1574,1574,1574
151,1574,1574,1574
152,1574,1574,1574
153,1574,1574,1574
154,1574,1574,1574
155,1574,1574,1574
156,1574,1574,1574
157,1574,1574,1574
158,1574,1574,1574
159,1574,1574,1574
160,1574,1574,1574
161,1574,1574,1574
162,1574,1574,1574
163,1574,1574,1574
164,1574,1574,1574
165,1574,1574,1574
166,1574,1574,1574
167,1574,1574,1574
168,1574,1574,1574
169,1574,1574,1574
170,1574,1574,1574
171,1574,1574,1574
172,1574,1574,1574
173,1574,1574,1574
174,1574,1574,1574
175,1574,1574,1574
176,1574,1574,1574
177,1574,1574,1574
178,1574,1574,1574
179,1574,1574,1574
180,1574,1574,1574
181,1574,1574,1574
182,1574,1574,1574
183,1574,1574,1574
184,1574,1574,1574
185,1574,1574,1574
186,1574,1574,1574
187,1574,1574,1574
188,1574,1574,1574
189,1574,1574,1574
190,1574,1574,1574
191,1574,1574,1574
192,1574,1574,1574
193,1574,1574,1574
194,1574,1574,1574
195,1574,1574,1574
196,1574,1574,1574
197,1574,1574,1574
198,1574,1574,1574
199,1574,1574,1574
