generation,best_fitness,average_fitness,optimal_solution
0,60823,13400.7,0
1,61777,25929.3,0
2,67685,34819,0
3,68513,37696.2,0
4,68513,42476.7,0
5,68513,43916.3,0
6,68605,45574.7,0
7,71597,47889,0
8,71597,49285.8,0
9,72123,49124.3,0
10,76120,50664.9,0
11,78360,52265.7,0
12,78360,55748.7,0
13,78360,55341.8,0
14,82148,56416.3,0
15,82148,57558.4,0
16,82148,61654.8,0
17,82148,61831.8,0
18,82148,62457.5,0
19,82148,61394.3,0
20,82148,65964.6,0
21,82148,66909.2,0
22,82148,69605.5,0
23,82148,73101.9,0
24,82148,74250,0
25,82148,77440,0
26,82148,79240.4,0
27,82148,80615.2,0
28,82148,82036.9,0
29,82148,82122.3,0
30,82148,82148,0
31,82148,82148,0
32,82148,82148,0
33,82148,82148,0
34,82148,82148,0
35,82148,82148,0
36,82148,82148,0
37,82148,82148,0
38,82148,82148,0
39,82148,82148,0
40,82148,82148,0
41,82148,82148,0
42,82148,82148,0
43,82148,82148,0
44,82148,82148,0
45,82148,82148,0
46,82148,82148,0
47,82148,82148,0
48,82148,82148,0
49,82148,82148,0
50,82148,82148,0
51,82148,82148,0
52,82148,82148,0
53,82148,82148,0
54,82148,82148,0
55,82148,82148,0
56,82148,82148,0
57,82148,82148,0
58,82148,82148,0
59,82148,82148,0
60,82148,82148,0
61,82148,82148,0
62,82148,82148,0
63,82148,82148,0
64,82148,82148,0
65,82148,82148,0
66,82148,82148,0
67,82148,82148,0
68,82148,82148,0
69,82148,82148,0
70,82148,82148,0
71,82148,82148,0
72,82148,82148,0
73,82148,82148,0
74,82148,82148,0
75,82148,82148,0
76,82148,82148,0
77,82148,82148,0
78,82148,82148,0
79,82148,82148,0
80,82148,82148,0
81,82148,82148,0
82,82148,82148,0
83,82148,82148,0
84,82148,82148,0
85,82148,82148,0
86,82148,82148,0
87,82148,82148,0
88,82148,82148,0
89,82148,82148,0
90,82148,82148,0
91,82148,82148,0
92,82148,82148,0
93,82148,82148,0
94,82148,82148,0
95,82148,82148,0
96,82148,82148,0
97,82148,82148,0
98,82148,82148,0
99,82148,82148,0
100,82148,82148,0
101,82148,82148,0
102,82148,82148,0
103,82148,82148,0
104,82148,82148,0
105,82148,82148,0
106,82148,82148,0
107,82148,82148,0
108,82148,82148,0
109,82148,82148,0
110,82148,82148,0
111,82148,82148,0
112,82148,82148,0
113,82148,82148,0
114,82148,82148,0
115,82148,82148,0
116,82148,82148,0
117,82148,82148,0
118,82148,82148,0
119,82148,82148,0
120,82148,82148,0
121,82148,82148,0
122,82148,82148,0
123,82148,82148,0
124,82148,82148,0
125,82148,82148,0
126,82148,82148,0
127,82148,82148,0
128,82148,82148,0
129,82148,82148,0
130,82148,82148,0
131,82148,82148,0
132,82148,82148,0
133,82148,82148,0
134,82148,82148,0
135,82148,82148,0
136,82148,82148,0
137,82148,82148,0
138,82148,82148,0
139,82148,82148,0
140,82148,82148,0
141,82148,82148,0
142,82148,82148,0
143,82148,82148,0
144,82148,82148,0
145,82148,82148,0
146,82148,82148,0
147,82148,82148,0
148,82148,82148,0
149,82148,82148,0
150,82148,82148,0
151,82148,82148,0
152,82148,82148,0
153,82148,82148,0
154,82148,82148,0
155,82148,82148,0
156,82148,82148,0
157,82148,82148,0
158,82148,82148,0
159,82148,82148,0
160,82148,82148,0
161,82148,82148,0
162,82148,82148,0
163,82148,82148,0
164,82148,82148,0
165,82148,82148,0
166,82148,82148,0
167,82148,82148,0
168,82148,82148,0
169,82148,82148,0
170,82148,82148,0
171,82148,82148,0
172,82148,82148,0
173,82148,82148,0
174,82148,82148,0
175,82148,82148,0
176,82148,82148,0
177,82148,82148,0
178,82148,82148,0
179,82148,82148,0
180,82148,82148,0
181,82148,82148,0
182,82148,82148,0
183,82148,82148,0
184,82148,82148,0
185,82148,82148,0
186,82148,82148,0
187,82148,82148,0
188,82148,82148,0
189,82148,82148,0
190,82148,82148,0
191,82148,82148,0
192,82148,82148,0
193,82148,82148,0
194,82148,82148,0
195,82148,82148,0
196,82148,82148,0
197,82148,82148,0
198,82148,82148,0
199,82148,82148,0
