type,measured_time,variable_number,clauses_number,average_error,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,69,20,78,0,250,2,3,200,none,50,0.03,0.9
N,113,50,201,0,250,2,3,200,none,50,0.03,0.9
N,295,75,310,0,250,2,3,200,none,50,0.03,0.9
M,56,20,78,0,250,2,3,200,none,50,0.03,0.9
M,122,50,201,0,250,2,3,200,none,50,0.03,0.9
M,330,75,310,0,250,2,3,200,none,50,0.03,0.9
A,75,20,88,0,250,2,3,200,none,50,0.03,0.9
A,126,20,91,0,250,2,3,200,none,50,0.03,0.9
A,4320,100,430,0,250,2,3,200,none,50,0.03,0.9
Q,56,20,78,0,250,2,3,200,none,50,0.03,0.9
Q,171,50,201,0,250,2,3,200,none,50,0.03,0.9
Q,2303,75,310,0,250,2,3,200,none,50,0.03,0.9
R,55,20,78,0,250,2,3,200,none,50,0.03,0.9
R,169,50,201,0,250,2,3,200,none,50,0.03,0.9
R,2287,75,310,0,250,2,3,200,none,50,0.03,0.9
