generation,best_fitness,average_fitness,optimal_solution
0,-1,4111.78,0
1,314820,1827.33,0
2,314820,4839.13,0
3,323394,20302.9,0
4,323394,44519.6,0
5,332266,83491.2,0
6,334853,138664,0
7,351760,192269,0
8,351760,247208,0
9,352207,284516,0
10,354169,309600,0
11,358617,315302,0
12,358617,318093,0
13,359354,321869,0
14,364342,333224,0
15,364895,339512,0
16,364895,343111,0
17,371692,349046,0
18,372134,349216,0
19,372134,354297,0
20,373967,355189,0
21,373967,359821,0
22,373967,360662,0
23,373967,360897,0
24,373967,365620,0
25,373967,369232,0
26,373967,370055,0
27,375961,369739,0
28,375961,373096,0
29,375961,373966,0
30,375961,374257,0
31,375961,374567,0
32,375961,374989,0
33,375961,375525,0
34,375961,375848,0
35,375961,375957,0
36,375961,375961,0
37,375961,375961,0
38,375961,375961,0
39,375961,375961,0
40,375961,375961,0
41,375961,375961,0
42,375961,375961,0
43,375961,375961,0
44,375961,375961,0
45,375961,375961,0
46,375961,375961,0
47,375961,375961,0
48,375961,375961,0
49,375961,375961,0
50,375961,375961,0
51,375961,375961,0
52,375961,375961,0
53,375961,375961,0
54,375961,375961,0
55,375961,375961,0
56,375961,375961,0
57,375961,375961,0
58,375961,375961,0
59,375961,375961,0
60,375961,375961,0
61,375961,375961,0
62,375961,375961,0
63,375961,375961,0
64,375961,375961,0
65,375961,375961,0
66,375961,375961,0
67,375961,375961,0
68,375961,375961,0
69,375961,375961,0
70,375961,375961,0
71,375961,375961,0
72,375961,375961,0
73,375961,375961,0
74,375961,375961,0
75,375961,375961,0
76,375961,375961,0
77,375961,375961,0
78,375961,375961,0
79,375961,375961,0
80,375961,375961,0
81,375961,375961,0
82,375961,375961,0
83,375961,375961,0
84,375961,375961,0
85,375961,375961,0
86,375961,375961,0
87,375961,375961,0
88,375961,375961,0
89,375961,375961,0
90,375961,375961,0
91,375961,375961,0
92,375961,375961,0
93,375961,375961,0
94,375961,375961,0
95,375961,375961,0
96,375961,375961,0
97,375961,375961,0
98,375961,375961,0
99,375961,375961,0
