generation,best_fitness,average_fitness,optimal_solution
0,57,-0.058,73
1,60,0.79,73
2,61,3.652,73
3,61,8.472,73
4,73,14.594,73
5,73,22.648,73
6,73,30.292,73
7,73,34.118,73
8,73,38.592,73
9,73,34.524,73
10,73,33.898,73
11,73,33.67,73
12,73,30.37,73
13,73,31.32,73
14,73,28.986,73
15,73,31.628,73
16,73,35.008,73
17,73,36.462,73
18,73,41.468,73
19,73,40.208,73
20,73,40.456,73
21,73,39.76,73
22,73,39.498,73
23,73,42.282,73
24,73,41.138,73
25,73,41.774,73
26,73,39.478,73
27,73,37.284,73
28,73,37.264,73
29,73,41.204,73
30,73,39.888,73
31,73,40.51,73
32,73,39.192,73
33,73,40.246,73
34,73,41.058,73
35,73,39.96,73
36,73,43.22,73
37,73,42.778,73
38,73,41.284,73
39,73,37.116,73
40,73,38.322,73
41,73,39.194,73
42,73,37.544,73
43,73,37.166,73
44,73,43.79,73
45,73,40.396,73
46,73,40.222,73
47,73,41.146,73
48,73,38.15,73
49,73,40.41,73
