generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,18.82,0
4,9909,56.07,0
5,9909,108.162,0
6,9909,223.29,0
7,10003,381.012,0
8,10213,484.48,0
9,10699,829.878,0
10,11192,1127.44,0
11,11292,1470.69,0
12,11620,2039.81,0
13,11620,3149.94,0
14,11981,4139.7,0
15,11981,5166.47,0
16,12041,5306.03,0
17,12041,5651.58,0
18,12098,5629.35,0
19,12155,5789.86,0
20,12508,5702.33,0
21,12508,6144.48,0
22,12508,6087.52,0
23,12508,5692.12,0
24,12508,5745.56,0
25,12508,5901.85,0
26,12508,5850.09,0
27,12508,6429.88,0
28,12508,5886.05,0
29,12508,5865.27,0
30,12508,5953.75,0
31,12508,6197.21,0
32,12508,6054.29,0
33,12508,5952.88,0
34,12508,6161.51,0
35,12508,5860.74,0
36,12508,5888.1,0
37,12508,6180.51,0
38,12508,6333.68,0
39,12508,6416.43,0
40,12508,6080.44,0
41,12508,6470.4,0
42,12508,6493.15,0
43,12508,5849.5,0
44,12508,6507.64,0
45,12508,5961.29,0
46,12508,6184.5,0
47,12508,6230.53,0
48,12508,5894.56,0
49,12508,6501.75,0
