generation,best_fitness,average_fitness,optimal_solution
0,43759,13334.8,43759
1,43759,25772,43759
2,43759,29827.9,43759
3,43759,32716.8,43759
4,43759,33112.8,43759
5,43759,34207.4,43759
6,43759,34338.2,43759
7,43759,35168.5,43759
8,43759,34344.3,43759
9,43759,33480.8,43759
10,43759,34116.8,43759
11,43759,34131.3,43759
12,43759,32263.6,43759
13,43759,33613.4,43759
14,43759,34624.9,43759
15,43759,33001.6,43759
16,43759,32832.3,43759
17,43759,33893.5,43759
18,43759,32704,43759
19,43759,33273.1,43759
20,43759,33472.9,43759
21,43759,33500.1,43759
22,43759,34073.4,43759
23,43759,33147.1,43759
24,43759,33907.2,43759
25,43759,34973.2,43759
26,43759,33471.6,43759
27,43759,33185.4,43759
28,43759,33664.5,43759
29,43759,32122,43759
30,43759,33553.5,43759
31,43759,32583.2,43759
32,43759,33192.7,43759
33,43759,31855.2,43759
34,43759,32354.1,43759
35,43759,33994.8,43759
36,43759,32062,43759
37,43759,35519.6,43759
38,43759,32203.8,43759
39,43759,33120.7,43759
40,43759,33058.5,43759
41,43759,33014.3,43759
42,43759,32240.2,43759
43,43759,33119.7,43759
44,43759,33715,43759
45,43759,33557.3,43759
46,43759,34760.6,43759
47,43759,32057.6,43759
48,43759,32987.3,43759
49,43759,33785.9,43759
