generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,23.014,0
6,12006,45.746,0
7,12006,134.482,0
8,13367,185.812,0
9,13367,349.322,0
10,13411,694.154,0
11,13637,976.796,0
12,13770,1538.52,0
13,13881,2168.44,0
14,15727,2757.96,0
15,15727,3464.26,0
16,15727,3987.81,0
17,15727,4276.6,0
18,15727,5035.63,0
19,16873,4884.75,0
20,16873,5153.03,0
21,17044,5181.98,0
22,17842,5528.92,0
23,17842,5023.71,0
24,17842,5096.55,0
25,17924,4624.08,0
26,17924,4629.12,0
27,17924,4427.47,0
28,18190,4071.16,0
29,18190,3858.75,0
30,18190,4263.42,0
31,18190,4077.89,0
32,18190,4510.38,0
33,18190,4650.24,0
34,18190,4752.1,0
35,18190,4837.47,0
36,18893,4905.78,0
37,18893,4765.42,0
38,18893,4623.19,0
39,18893,5120.34,0
40,18893,5241.93,0
41,18893,5244.71,0
42,18893,4941.18,0
43,18893,4313.28,0
44,19064,5093.72,0
45,19064,4600.91,0
46,19064,4869.11,0
47,19064,5252.86,0
48,19064,5211.43,0
49,19064,5077.97,0
