generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,181.66,0
6,62183,253.684,0
7,62183,404.614,0
8,62183,590.884,0
9,62183,1375.85,0
10,65376,2485.18,0
11,65551,2417.25,0
12,65551,2601.39,0
13,67737,3040.65,0
14,67737,4139.6,0
15,67737,5172.9,0
16,71840,6733.89,0
17,73281,8360.94,0
18,73281,12022.1,0
19,73281,14493.6,0
20,73842,16225.5,0
21,73842,20924,0
22,73842,20568.9,0
23,76072,20485.7,0
24,76769,21451,0
25,79009,21971.9,0
26,79009,22735.2,0
27,79009,19462.4,0
28,79009,20365.9,0
29,79009,17396.5,0
30,79009,18849.6,0
31,79009,21038.1,0
32,79009,19155.3,0
33,79009,17587.9,0
34,79746,20158.1,0
35,79746,19806.3,0
36,79746,19915.2,0
37,79746,18174.1,0
38,79746,18286.6,0
39,79746,20735.4,0
40,79746,21538.9,0
41,79746,19617.5,0
42,79746,19737.5,0
43,79746,19537.8,0
44,79746,20521.2,0
45,79746,18693.9,0
46,79746,19928.4,0
47,79746,18421.9,0
48,79746,18994,0
49,79746,21284.5,0
