type,measured_time,variable_number,clauses_number,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,2417,20,78,500,4,3,50,none,5,0.05,0.9
N,7912,50,201,500,4,3,50,none,5,0.05,0.9
N,9260,75,310,500,4,3,50,none,5,0.05,0.9
M,2365,20,78,500,4,3,50,none,5,0.05,0.9
M,7905,50,201,500,4,3,50,none,5,0.05,0.9
M,10347,75,310,500,4,3,50,none,5,0.05,0.9
A,2984,20,88,500,4,3,50,none,5,0.05,0.9
A,3340,20,91,500,4,3,50,none,5,0.05,0.9
A,9819,100,430,500,4,3,50,none,5,0.05,0.9
Q,2357,20,78,500,4,3,50,none,5,0.05,0.9
Q,8703,50,201,500,4,3,50,none,5,0.05,0.9
Q,9001,75,310,500,4,3,50,none,5,0.05,0.9
R,2351,20,78,500,4,3,50,none,5,0.05,0.9
R,8281,50,201,500,4,3,50,none,5,0.05,0.9
R,8873,75,310,500,4,3,50,none,5,0.05,0.9
