generation,best_fitness,average_fitness,optimal_solution
0,-1,-0.683,107
1,107,-0.415,107
2,107,0.333,107
3,107,0.653,107
4,107,0.819,107
5,107,2.068,107
6,107,2.143,107
7,107,4.157,107
8,107,7.442,107
9,107,9.538,107
10,107,13.25,107
11,107,18.431,107
12,107,21.029,107
13,107,23.128,107
14,107,24.297,107
15,107,24.255,107
16,107,25.869,107
17,107,25.756,107
18,107,22.719,107
19,107,21.987,107
20,107,22.139,107
21,107,23.501,107
22,107,21.287,107
23,107,22.406,107
24,107,24.061,107
25,107,23.302,107
26,107,27.563,107
27,107,32.088,107
28,107,41.903,107
29,107,49.387,107
30,107,53.324,107
31,107,54.355,107
32,107,56.564,107
33,107,58.94,107
34,107,57.428,107
35,107,55.916,107
36,107,56.78,107
37,107,57.428,107
38,107,57.32,107
39,107,56.564,107
40,107,55.268,107
41,107,55.376,107
42,107,58.076,107
43,107,54.404,107
44,107,54.296,107
45,107,56.672,107
46,107,57.32,107
47,107,56.456,107
48,107,60.884,107
49,107,56.996,107
50,107,56.456,107
51,107,57.86,107
52,107,55.916,107
53,107,54.62,107
54,107,53.54,107
55,107,55.484,107
56,107,56.24,107
57,107,55.052,107
58,107,57.752,107
59,107,56.672,107
60,107,56.348,107
61,107,55.592,107
62,107,55.268,107
63,107,54.62,107
64,107,53.972,107
65,107,54.296,107
66,107,57.644,107
67,107,55.916,107
68,107,57.212,107
69,107,56.672,107
70,107,53.216,107
71,107,56.348,107
72,107,55.268,107
73,107,57.86,107
74,107,56.672,107
75,107,56.888,107
76,107,58.292,107
77,107,59.804,107
78,107,58.724,107
79,107,54.188,107
80,107,58.4,107
81,107,54.895,107
82,107,54.62,107
83,107,54.836,107
84,107,59.588,107
85,107,57.536,107
86,107,55.268,107
87,107,55.16,107
88,107,57.644,107
89,107,56.996,107
90,107,58.076,107
91,107,54.404,107
92,107,53.864,107
93,107,54.62,107
94,107,53.54,107
95,107,53.324,107
96,107,56.672,107
97,107,56.292,107
98,107,56.348,107
99,107,55.16,107
100,107,54.62,107
101,107,55.16,107
102,107,57.86,107
103,107,56.996,107
104,107,57.919,107
105,107,59.264,107
106,107,56.672,107
107,107,55.916,107
108,107,56.564,107
109,107,57.428,107
110,107,56.672,107
111,107,55.975,107
112,107,57.644,107
113,107,55.7,107
114,107,56.623,107
115,107,59.156,107
116,107,58.616,107
117,107,57.752,107
118,107,54.08,107
119,107,56.24,107
120,107,56.888,107
121,107,53.54,107
122,107,54.512,107
123,107,54.944,107
124,107,56.456,107
125,107,55.376,107
126,107,55.484,107
127,107,57.644,107
128,107,57.86,107
129,107,55.376,107
130,107,59.804,107
131,107,59.804,107
132,107,58.616,107
133,107,55.376,107
134,107,54.895,107
135,107,54.512,107
136,107,54.62,107
137,107,55.644,107
138,107,56.508,107
139,107,59.372,107
140,107,56.888,107
141,107,56.888,107
142,107,54.031,107
143,107,57.428,107
144,107,54.728,107
145,107,57.104,107
146,107,55.808,107
147,107,50.3,107
148,107,52.136,107
149,107,55.268,107
150,107,55.376,107
151,107,54.404,107
152,107,56.996,107
153,107,53.216,107
154,107,54.728,107
155,107,54.993,107
156,107,56.996,107
157,107,57.752,107
158,107,56.024,107
159,107,56.024,107
160,107,57.428,107
161,107,54.133,107
162,107,56.78,107
163,107,55.484,107
164,107,55.916,107
165,107,54.188,107
166,107,54.836,107
167,107,50.359,107
168,107,51.38,107
169,107,56.24,107
170,107,55.16,107
171,107,57.32,107
172,107,56.78,107
173,107,55.219,107
174,107,56.024,107
175,107,54.62,107
176,107,58.508,107
177,107,54.728,107
178,107,55.376,107
179,107,57.104,107
180,107,56.348,107
181,107,56.456,107
182,107,54.031,107
183,107,57.428,107
184,107,54.512,107
185,107,55.268,107
186,107,55.975,107
187,107,53.972,107
188,107,57.644,107
189,107,57.212,107
190,107,54.836,107
191,107,59.912,107
192,107,56.456,107
193,107,55.003,107
194,107,55.052,107
195,107,54.836,107
196,107,54.296,107
197,107,54.512,107
198,107,56.024,107
199,107,56.672,107
