generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,326.947,0
114,327946,326.947,0
115,327946,326.947,0
116,327946,326.947,0
117,327946,326.947,0
118,327946,326.947,0
119,327946,326.947,0
120,327946,326.947,0
121,327946,652.65,0
122,327946,1282.47,0
123,327946,1911.14,0
124,327946,1895.19,0
125,327946,1597.76,0
126,327946,1958.13,0
127,331218,1618.09,0
128,331218,2579.29,0
129,333676,2563.09,0
130,335672,2859.85,0
131,335672,2872.93,0
132,335672,2620.01,0
133,335672,1915.98,0
134,335672,999.569,0
135,335672,999.569,0
136,335672,1304.22,0
137,335672,1651.39,0
138,335672,2957.54,0
139,339152,2316.14,0
140,339152,1650.15,0
141,339152,1278.36,0
142,339152,2013.65,0
143,339152,2956.63,0
144,339152,2281.32,0
145,339152,1660.56,0
146,339152,1638.4,0
147,339152,1336.26,0
148,339152,1975.88,0
149,341905,2006.31,0
150,341905,1661.93,0
151,341905,1629.44,0
152,341905,1018.54,0
153,341905,1018.54,0
154,341905,1018.54,0
155,341905,1332.63,0
156,341905,1640.35,0
157,341905,1352.93,0
158,341905,1992.35,0
159,341905,2313.27,0
160,341905,2335.83,0
161,341905,1335.95,0
162,341905,2575.04,0
163,345216,1660.27,0
164,345216,1698.54,0
165,345216,2361.35,0
166,348348,2290.98,0
167,348348,1666.97,0
168,348348,2340.51,0
169,348348,2023.97,0
170,348348,2043.76,0
171,348348,1727.86,0
172,354597,1379.82,0
173,354597,1719.98,0
174,354597,3692.87,0
175,354597,2695.93,0
176,354597,1682.47,0
177,354597,2007.2,0
178,354597,2064.9,0
179,354597,2407.72,0
180,354597,2028.23,0
181,354597,3321.85,0
182,354597,2338.05,0
183,359973,2011.15,0
184,359973,3261.37,0
185,359973,2232.73,0
186,359973,1982.96,0
187,359973,2022.93,0
188,359973,1353.44,0
189,359973,2428.01,0
190,359973,2075.72,0
191,359973,2101.54,0
192,359973,1770.84,0
193,359973,2084.87,0
194,359973,2062.05,0
195,359973,1780.11,0
196,359973,2358.28,0
197,359973,1691.52,0
198,359973,1424.93,0
199,359973,1423.75,0
