generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,13.299,0
77,14298,13.299,0
78,14298,13.299,0
79,14298,13.299,0
80,14298,13.299,0
81,14298,26.131,0
82,14298,26.131,0
83,14298,40.105,0
84,14298,52.966,0
85,14298,53.559,0
86,14298,40.698,0
87,14298,40.698,0
88,14298,40.698,0
89,14298,68.923,0
90,14298,81.002,0
91,14298,82.209,0
92,14415,78.149,0
93,14415,105.691,0
94,14515,90.241,0
95,14515,70.162,0
96,14515,62.522,0
97,14515,86.759,0
98,14515,104.465,0
99,14515,80.487,0
100,14515,54.729,0
101,14515,81.109,0
102,14823,54.363,0
103,14823,53.939,0
104,14823,42.856,0
105,14823,68.264,0
106,15609,85.367,0
107,15609,59.915,0
108,15609,77.212,0
109,16492,82.47,0
110,16492,57.033,0
111,16492,60.828,0
112,16492,74.937,0
113,16492,62.513,0
114,16492,61.791,0
115,16492,59.887,0
116,16492,88.218,0
117,16492,137.27,0
118,16492,79.722,0
119,16492,78.937,0
120,16492,63.061,0
121,16492,48.479,0
122,16492,110.46,0
123,16492,106.864,0
124,16492,77.867,0
125,16492,77.488,0
126,16492,48.479,0
127,16492,93.861,0
128,16492,107.469,0
129,16492,64.83,0
130,16492,48.479,0
131,16492,62.784,0
132,16492,64.861,0
133,16492,48.479,0
134,16492,48.479,0
135,16492,63.271,0
136,16492,48.479,0
137,16492,64.65,0
138,16492,64.805,0
139,16492,81.298,0
140,16492,48.479,0
141,16492,48.479,0
142,16492,81.328,0
143,17151,64.051,0
144,17151,65.769,0
145,17151,49.276,0
146,17151,49.276,0
147,17151,65.029,0
148,17151,109.304,0
149,17151,111.623,0
150,17151,77.55,0
151,17151,81.78,0
152,18063,51.1,0
153,18063,84.851,0
154,18063,83.005,0
155,18063,65.124,0
156,18063,51.566,0
157,18063,51.566,0
158,18063,69.205,0
159,18063,67.132,0
160,18063,98.95,0
161,18063,52.767,0
162,18063,103.407,0
163,18063,70.831,0
164,18063,63.369,0
165,18063,70.165,0
166,18063,86.64,0
167,18063,53.192,0
168,18063,53.192,0
169,18063,53.192,0
170,18063,71.256,0
171,18063,87.186,0
172,18063,70.338,0
173,18063,66.656,0
174,18063,70.338,0
175,18063,68.118,0
176,18063,85.572,0
177,18063,118.131,0
178,18063,67.326,0
179,18063,98.059,0
180,18063,66.357,0
181,18063,53.192,0
182,18063,103.091,0
183,18063,65.762,0
184,18063,66.798,0
185,18063,81.975,0
186,18063,65.905,0
187,18063,70.379,0
188,18063,69.004,0
189,18063,53.192,0
190,18063,87.18,0
191,18063,70.271,0
192,18063,53.192,0
193,18063,86.058,0
194,18063,53.192,0
195,18063,69.177,0
196,18063,53.192,0
197,18063,85.559,0
198,18063,66.449,0
199,18063,53.192,0
