generation,best_fitness,average_fitness,optimal_solution
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,-1,-1,0
88,-1,12.875,0
89,13874,12.875,0
90,13874,12.875,0
91,13874,12.875,0
92,13874,29.037,0
93,16161,66.541,0
94,23628,121.61,0
95,23628,142.15,0
96,23628,139.601,0
97,23628,117.467,0
98,23628,109.458,0
99,23628,96.832,0
100,23628,145.867,0
101,25020,88.746,0
102,25020,97.414,0
103,26854,96.835,0
104,26854,119.068,0
105,26854,99.003,0
106,26854,122.868,0
107,26854,156.592,0
108,30227,109.703,0
109,30227,83.438,0
110,30227,83.438,0
111,30227,103.649,0
112,30227,83.438,0
113,30227,106.559,0
114,30227,106.775,0
115,30227,83.438,0
116,30227,136.216,0
117,30227,83.438,0
118,30227,83.438,0
119,30227,109.846,0
120,30227,107.328,0
121,30227,160.491,0
122,30227,163.496,0
123,30227,187.605,0
124,32153,175.341,0
125,32153,203.85,0
126,32153,153.648,0
127,32153,93.192,0
128,32153,93.192,0
129,32153,139.603,0
130,32153,122.28,0
131,32153,149.581,0
132,32153,93.192,0
133,32153,93.192,0
134,32153,93.192,0
135,32153,93.192,0
136,32153,93.192,0
137,32153,93.192,0
138,32153,93.192,0
139,32153,93.192,0
140,32153,93.192,0
141,32153,93.192,0
142,32153,93.192,0
143,32153,93.192,0
144,32153,93.192,0
145,32153,112.833,0
146,32153,155.873,0
147,32153,125.24,0
148,32153,126.602,0
149,32153,159.507,0
150,32153,151.089,0
151,32153,120.107,0
152,32153,95.462,0
153,32153,95.462,0
154,32153,95.462,0
155,32153,95.462,0
156,32153,95.462,0
157,32153,125.487,0
158,32153,123.367,0
159,32153,161.253,0
160,33636,182.247,0
161,33636,124.647,0
162,33636,191.201,0
163,33636,96.945,0
164,33636,96.945,0
165,33636,125.418,0
166,33636,151.885,0
167,33636,122.224,0
168,33636,122.224,0
169,33636,165.877,0
170,33636,98.428,0
171,33636,133.314,0
172,34885,123.309,0
173,34885,101.16,0
174,34885,136.046,0
175,34885,167.113,0
176,34885,102.409,0
177,34885,137.295,0
178,34885,137.023,0
179,34885,155.566,0
180,34885,135.483,0
181,34885,103.658,0
182,34885,135.241,0
183,34885,103.658,0
184,34885,103.658,0
185,34885,137.227,0
186,34885,205.516,0
187,34885,169.158,0
188,34885,165.814,0
189,34885,153.709,0
190,34885,149.748,0
191,34885,165.711,0
192,34885,163.061,0
193,34885,219.488,0
194,34885,160.72,0
195,34885,130.894,0
196,34885,157.448,0
197,34885,103.658,0
198,34885,169.613,0
199,34885,136.393,0
