generation,best_fitness,average_fitness,optimal_solution
0,-1,60.482,0
1,307409,60.482,0
2,307409,60.482,0
3,307409,119.293,0
4,307409,181.021,0
5,308636,302.696,0
6,308636,890.63,0
7,309240,887.352,0
8,309240,822.845,0
9,309240,836.507,0
10,320482,1616.75,0
11,320482,2044.37,0
12,331791,2299.42,0
13,331791,3231.63,0
14,334795,3640.64,0
15,348902,4897.96,0
16,348902,6503.08,0
17,348902,7679.54,0
18,352473,9944.85,0
19,352473,11839.7,0
20,361915,15202.2,0
21,361915,20801.7,0
22,361915,31020.5,0
23,361915,45420,0
24,361915,62741.3,0
25,361915,83990.4,0
26,361915,95168.6,0
27,362023,104635,0
28,362575,106041,0
29,366647,110399,0
30,368200,113188,0
31,368200,115544,0
32,368200,114946,0
33,368200,116941,0
34,368200,110718,0
35,371260,115190,0
36,373750,115582,0
37,373750,115015,0
38,373750,118098,0
39,373750,121294,0
40,375961,116045,0
41,375961,115293,0
42,375961,119538,0
43,375961,117750,0
44,375961,113791,0
45,375961,116508,0
46,375961,118907,0
47,375961,116243,0
48,375961,111768,0
49,375961,116370,0
50,375961,119435,0
51,375961,115883,0
52,375961,118254,0
53,375961,126562,0
54,375961,120429,0
55,375961,122504,0
56,375961,115664,0
57,375961,115377,0
58,375961,116516,0
59,375961,116477,0
60,375961,116616,0
61,375961,122117,0
62,375961,122025,0
63,375961,118996,0
64,375961,118483,0
65,375961,116987,0
66,375961,118677,0
67,375961,110706,0
68,375961,117040,0
69,375961,113598,0
70,375961,113442,0
71,375961,114325,0
72,375961,112541,0
73,375961,118702,0
74,375961,118103,0
75,375961,118613,0
76,375961,115739,0
77,375961,115229,0
78,375961,113778,0
79,375961,118766,0
80,375961,119456,0
81,375961,116012,0
82,375961,116073,0
83,375961,116483,0
84,375961,116108,0
85,375961,115110,0
86,375961,108602,0
87,375961,114372,0
88,375961,115419,0
89,375961,111588,0
90,375961,115281,0
91,375961,114788,0
92,375961,124146,0
93,375961,119009,0
94,375961,120264,0
95,375961,119142,0
96,375961,120285,0
97,375961,121227,0
98,375961,117974,0
99,375961,120117,0
100,375961,116863,0
101,375961,115008,0
102,375961,122103,0
103,375961,118420,0
104,375961,117202,0
105,375961,118632,0
106,375961,121689,0
107,375961,122995,0
108,375961,122147,0
109,375961,121324,0
110,375961,119336,0
111,375961,114971,0
112,375961,113742,0
113,375961,115037,0
114,375961,117660,0
115,375961,117411,0
116,375961,117840,0
117,375961,118569,0
118,375961,115308,0
119,375961,117801,0
120,375961,116347,0
121,375961,118491,0
122,375961,119144,0
123,375961,121330,0
124,375961,121675,0
125,375961,117628,0
126,375961,120579,0
127,375961,117482,0
128,375961,118339,0
129,375961,119336,0
130,375961,117079,0
131,375961,115311,0
132,375961,117410,0
133,375961,114515,0
134,375961,119787,0
135,375961,119698,0
136,375961,115824,0
137,375961,116855,0
138,375961,117000,0
139,375961,116250,0
140,375961,118412,0
141,375961,118285,0
142,375961,121437,0
143,375961,118032,0
144,375961,117719,0
145,375961,115935,0
146,375961,117822,0
147,375961,119123,0
148,375961,116644,0
149,375961,118054,0
150,375961,114716,0
151,375961,116162,0
152,375961,117401,0
153,375961,112920,0
154,375961,118339,0
155,375961,117026,0
156,375961,118972,0
157,375961,122120,0
158,375961,120854,0
159,375961,119109,0
160,375961,116485,0
161,375961,112483,0
162,375961,114932,0
163,375961,112849,0
164,375961,119216,0
165,375961,117493,0
166,375961,116319,0
167,375961,115847,0
168,375961,118870,0
169,375961,116494,0
170,375961,118321,0
171,375961,117559,0
172,375961,116384,0
173,375961,115289,0
174,375961,118274,0
175,375961,110737,0
176,375961,113991,0
177,375961,115219,0
178,375961,116469,0
179,375961,121647,0
180,375961,120990,0
181,375961,118047,0
182,375961,119810,0
183,375961,118313,0
184,375961,116675,0
185,375961,114773,0
186,375961,116293,0
187,375961,120996,0
188,375961,121386,0
189,375961,119568,0
190,375961,116515,0
191,375961,117555,0
192,375961,117986,0
193,375961,119580,0
194,375961,115917,0
195,375961,114830,0
196,375961,114868,0
197,375961,118092,0
198,375961,121462,0
199,375961,124428,0
200,375961,117720,0
201,375961,117704,0
202,375961,114434,0
203,375961,113701,0
204,375961,117079,0
205,375961,118910,0
206,375961,119541,0
207,375961,114293,0
208,375961,114087,0
209,375961,120407,0
210,375961,120369,0
211,375961,116657,0
212,375961,117818,0
213,375961,117100,0
214,375961,119065,0
215,375961,116515,0
216,375961,116165,0
217,375961,115724,0
218,375961,116492,0
219,375961,115562,0
220,375961,119702,0
221,375961,120208,0
222,375961,119157,0
223,375961,113405,0
224,375961,116166,0
225,375961,119918,0
226,375961,115538,0
227,375961,118412,0
228,375961,117007,0
229,375961,114270,0
230,375961,116442,0
231,375961,115648,0
232,375961,114918,0
233,375961,115372,0
234,375961,117659,0
235,375961,115818,0
236,375961,117862,0
237,375961,119908,0
238,375961,118185,0
239,375961,115004,0
240,375961,117660,0
241,375961,113641,0
242,375961,118230,0
243,375961,116412,0
244,375961,115230,0
245,375961,116431,0
246,375961,117785,0
247,375961,119338,0
248,375961,116010,0
249,375961,117231,0
250,375961,119322,0
251,375961,120103,0
252,375961,121772,0
253,375961,119328,0
254,375961,117310,0
255,375961,118053,0
256,375961,118908,0
257,375961,117706,0
258,375961,118815,0
259,375961,113898,0
260,375961,113821,0
261,375961,116139,0
262,375961,116707,0
263,375961,117940,0
264,375961,116660,0
265,375961,112450,0
266,375961,114403,0
267,375961,117844,0
268,375961,116928,0
269,375961,111729,0
270,375961,111136,0
271,375961,114210,0
272,375961,114719,0
273,375961,113848,0
274,375961,117277,0
275,375961,116177,0
276,375961,115613,0
277,375961,117712,0
278,375961,117133,0
279,375961,114088,0
280,375961,118482,0
281,375961,118475,0
282,375961,116548,0
283,375961,115615,0
284,375961,118954,0
285,375961,120448,0
286,375961,113519,0
287,375961,117484,0
288,375961,118347,0
289,375961,117897,0
290,375961,122228,0
291,375961,114412,0
292,375961,118377,0
293,375961,122598,0
294,375961,115915,0
295,375961,117599,0
296,375961,116664,0
297,375961,116800,0
298,375961,115146,0
299,375961,117287,0
