generation,best_fitness,average_fitness,optimal_solution
0,326614,9625.72,0
1,347113,28358.6,0
2,347113,52979.6,0
3,352675,84698.4,0
4,352675,128556,0
5,352675,190372,0
6,357302,230213,0
7,357595,262325,0
8,362680,286850,0
9,362680,298087,0
10,362680,306561,0
11,362680,313078,0
12,365055,318571,0
13,366014,326410,0
14,366963,322807,0
15,367362,329750,0
16,371260,335142,0
17,373254,329796,0
18,373254,336165,0
19,373967,338133,0
20,373967,338963,0
21,373967,339640,0
22,374709,344542,0
23,375961,345441,0
24,375961,351359,0
25,375961,350060,0
26,375961,353047,0
27,375961,352490,0
28,375961,357867,0
29,375961,352963,0
30,375961,358250,0
31,375961,357328,0
32,375961,357110,0
33,375961,360154,0
34,375961,359631,0
35,375961,354475,0
36,375961,359147,0
37,375961,360535,0
38,375961,358429,0
39,375961,352369,0
40,375961,356399,0
41,375961,357577,0
42,375961,353804,0
43,375961,356996,0
44,375961,351394,0
45,375961,356657,0
46,375961,355968,0
47,375961,359162,0
48,375961,359699,0
49,375961,359416,0
50,375961,356091,0
51,375961,354001,0
52,375961,358762,0
53,375961,358297,0
54,375961,358825,0
55,375961,354788,0
56,375961,356442,0
57,375961,357642,0
58,375961,354543,0
59,375961,355682,0
60,375961,355283,0
61,375961,359785,0
62,375961,353931,0
63,375961,358905,0
64,375961,359076,0
65,375961,355383,0
66,375961,355057,0
67,375961,359188,0
68,375961,354313,0
69,375961,355617,0
70,375961,354912,0
71,375961,359822,0
72,375961,360609,0
73,375961,362644,0
74,375961,356517,0
75,375961,354556,0
76,375961,357071,0
77,375961,353626,0
78,375961,354639,0
79,375961,355216,0
80,375961,356599,0
81,375961,358290,0
82,375961,358230,0
83,375961,355870,0
84,375961,359382,0
85,375961,358557,0
86,375961,357518,0
87,375961,354418,0
88,375961,356920,0
89,375961,354761,0
90,375961,355350,0
91,375961,359922,0
92,375961,357984,0
93,375961,356731,0
94,375961,355444,0
95,375961,355698,0
96,375961,354349,0
97,375961,358850,0
98,375961,354487,0
99,375961,356811,0
100,375961,352655,0
101,375961,356876,0
102,375961,358063,0
103,375961,353545,0
104,375961,354775,0
105,375961,357415,0
106,375961,360434,0
107,375961,357520,0
108,375961,359528,0
109,375961,358575,0
110,375961,361406,0
111,375961,356495,0
112,375961,360029,0
113,375961,357978,0
114,375961,360610,0
115,375961,359189,0
116,375961,359617,0
117,375961,355027,0
118,375961,355707,0
119,375961,356546,0
120,375961,355043,0
121,375961,353664,0
122,375961,359118,0
123,375961,356779,0
124,375961,358373,0
125,375961,358586,0
126,375961,357279,0
127,375961,359732,0
128,375961,354798,0
129,375961,353698,0
130,375961,358563,0
131,375961,358966,0
132,375961,354914,0
133,375961,360264,0
134,375961,356586,0
135,375961,355164,0
136,375961,353763,0
137,375961,355556,0
138,375961,354037,0
139,375961,358373,0
140,375961,358830,0
141,375961,359587,0
142,375961,355111,0
143,375961,357947,0
144,375961,352355,0
145,375961,354111,0
146,375961,352735,0
147,375961,359367,0
148,375961,359908,0
149,375961,357078,0
150,375961,357355,0
151,375961,359624,0
152,375961,362700,0
153,375961,363184,0
154,375961,356129,0
155,375961,358357,0
156,375961,359803,0
157,375961,356177,0
158,375961,355368,0
159,375961,357139,0
160,375961,356711,0
161,375961,351019,0
162,375961,354762,0
163,375961,356716,0
164,375961,356713,0
165,375961,357055,0
166,375961,356411,0
167,375961,357545,0
168,375961,356037,0
169,375961,356609,0
170,375961,357435,0
171,375961,358327,0
172,375961,359623,0
173,375961,361003,0
174,375961,357703,0
175,375961,360501,0
176,375961,358842,0
177,375961,360706,0
178,375961,360246,0
179,375961,359007,0
180,375961,357601,0
181,375961,357182,0
182,375961,357047,0
