generation,best_fitness,average_fitness,optimal_solution
0,107,17.856,107
1,107,28.82,107
2,107,31.528,107
3,107,36.528,107
4,107,39.608,107
5,107,33.684,107
6,107,33.16,107
7,107,38.464,107
8,107,38.956,107
9,107,40.056,107
10,107,40.764,107
11,107,39.54,107
12,107,40.716,107
13,107,43.26,107
14,107,43.148,107
15,107,41.292,107
16,107,39.672,107
17,107,40.3,107
18,107,41.192,107
19,107,39.74,107
20,107,39.476,107
21,107,43.992,107
22,107,42.34,107
23,107,36.908,107
24,107,36.896,107
25,107,37.7,107
26,107,36.788,107
27,107,42.808,107
28,107,43.276,107
29,107,43.396,107
30,107,41.196,107
31,107,39.976,107
32,107,43.352,107
33,107,36.968,107
34,107,38.204,107
35,107,40.304,107
36,107,40.512,107
37,107,41.752,107
38,107,45.932,107
39,107,44.872,107
40,107,48.432,107
41,107,48.252,107
42,107,46.672,107
43,107,40.464,107
44,107,38.824,107
45,107,41.88,107
46,107,41.956,107
47,107,41.844,107
48,107,42.636,107
49,107,42.236,107
50,107,42.212,107
51,107,39.176,107
52,107,35.724,107
53,107,41.048,107
54,107,39.892,107
55,107,40.324,107
56,107,41.448,107
57,107,44.068,107
58,107,48.204,107
59,107,44.456,107
60,107,45.196,107
61,107,44.464,107
62,107,42.244,107
63,107,39.2,107
64,107,42.6,107
65,107,39.308,107
66,107,38.572,107
67,107,45.908,107
68,107,44.324,107
69,107,41.676,107
70,107,37.76,107
71,107,42.12,107
72,107,40.1,107
73,107,44.388,107
74,107,44.108,107
75,107,43.604,107
76,107,50.56,107
77,107,47.26,107
78,107,41.996,107
79,107,40.532,107
80,107,37.584,107
81,107,44.172,107
82,107,47.524,107
83,107,51.416,107
84,107,55.968,107
85,107,60.592,107
86,107,62.952,107
87,107,71.976,107
88,107,87.24,107
89,107,98.956,107
90,107,105.272,107
91,107,107,107
92,107,107,107
93,107,107,107
94,107,107,107
95,107,107,107
96,107,107,107
97,107,107,107
98,107,107,107
99,107,107,107
100,107,107,107
101,107,107,107
102,107,107,107
