generation,best_fitness,average_fitness,optimal_solution
0,11255,3430.55,0
1,11255,6333.96,0
2,11255,8566.81,0
3,11582,9509.71,0
4,11775,10428.7,0
5,11944,10730.5,0
6,12188,11003.5,0
7,12188,10994.1,0
8,12349,11288.4,0
9,12349,11636.9,0
10,12349,11639.1,0
11,12397,11791.5,0
12,12397,11954.2,0
13,12397,12117,0
14,12508,12231.7,0
15,12508,12213.7,0
16,12508,12271.1,0
17,12508,12417.6,0
18,12508,12458,0
19,12508,12492,0
20,12508,12454.1,0
21,12508,12507.6,0
22,12508,12508,0
23,12508,12508,0
24,12508,12508,0
25,12508,12508,0
26,12508,12508,0
27,12508,12508,0
28,12508,12508,0
29,12508,12508,0
30,12508,12508,0
31,12508,12508,0
32,12508,12508,0
33,12508,12508,0
34,12508,12508,0
35,12508,12508,0
36,12508,12508,0
37,12508,12508,0
38,12508,12508,0
39,12508,12508,0
40,12508,12508,0
