generation,best_fitness,average_fitness,optimal_solution
0,-1,4783.95,0
1,319543,3630.59,0
2,319543,7129.96,0
3,319543,18973.1,0
4,337212,38559.9,0
5,341048,59841.5,0
6,341048,93552.4,0
7,341999,123561,0
8,356021,145864,0
9,356021,162819,0
10,356021,202327,0
11,356021,236509,0
12,356021,258401,0
13,356021,269308,0
14,356021,274943,0
15,361362,291439,0
16,361925,304405,0
17,362302,314143,0
18,363870,321752,0
19,366377,325771,0
20,367266,330629,0
21,371893,339143,0
22,371893,338500,0
23,371893,342226,0
24,371893,350295,0
25,371893,355915,0
26,371893,354804,0
27,371893,362256,0
28,371893,370881,0
29,371893,370003,0
30,371893,371885,0
31,371893,371893,0
32,371893,371893,0
33,371893,371893,0
34,371893,371893,0
35,371893,371893,0
36,371893,371893,0
37,371893,371893,0
38,371893,371893,0
39,371893,371893,0
40,371893,371893,0
41,371893,371893,0
42,371893,371893,0
43,371893,371893,0
44,371893,371893,0
45,371893,371893,0
46,371893,371893,0
47,371893,371893,0
48,371893,371893,0
49,371893,371893,0
50,371893,371893,0
51,371893,371893,0
52,371893,371893,0
53,371893,371893,0
54,371893,371893,0
55,371893,371893,0
56,371893,371893,0
57,371893,371893,0
58,371893,371893,0
59,371893,371893,0
60,371893,371893,0
61,371893,371893,0
62,371893,371893,0
63,371893,371893,0
64,371893,371893,0
