generation,best_fitness,average_fitness,optimal_solution
0,16578,4458.6,0
1,16578,6503.34,0
2,16578,8377.18,0
3,16578,9378.51,0
4,16578,9667.46,0
5,16902,10072.9,0
6,16902,10283.1,0
7,16902,10896.8,0
8,16902,11364.1,0
9,17062,11649.3,0
10,18361,11753.7,0
11,18361,11785.4,0
12,18361,11848.8,0
13,18361,12027.3,0
14,18506,12416.5,0
15,19064,12016.4,0
16,19064,12935.9,0
17,19064,13684.3,0
18,19064,14769.4,0
19,19064,15146.3,0
20,19064,15448.8,0
21,19064,15986.7,0
22,19064,16491.4,0
23,19064,17314.5,0
24,19064,18079.9,0
25,19064,18573.8,0
26,19064,18821.5,0
27,19064,19054.8,0
28,19064,19064,0
29,19064,19064,0
30,19064,19064,0
31,19064,19064,0
32,19064,19064,0
33,19064,19064,0
34,19064,19064,0
35,19064,19064,0
36,19064,19064,0
37,19064,19064,0
38,19064,19064,0
39,19064,19064,0
40,19064,19064,0
41,19064,19064,0
42,19064,19064,0
43,19064,19064,0
44,19064,19064,0
45,19064,19064,0
46,19064,19064,0
47,19064,19064,0
48,19064,19064,0
49,19064,19064,0
50,19064,19064,0
