generation,best_fitness,average_fitness,optimal_solution
0,56190,16358.8,0
1,61169,29179.6,0
2,64606,38452.2,0
3,64606,40938,0
4,68308,41152.4,0
5,69816,44612.2,0
6,69816,45550.5,0
7,72706,48275.9,0
8,72706,49951.4,0
9,72706,49960.2,0
10,75911,51870,0
11,75911,53167.5,0
12,76662,54975.8,0
13,82148,53856.9,0
14,82148,56108,0
15,82148,57894.9,0
16,82148,61760.6,0
17,82148,65313.4,0
18,82148,65894.4,0
19,82148,67651.7,0
20,82148,68155.3,0
21,82148,72181.2,0
22,82148,74573.2,0
23,82148,75563.6,0
24,82148,79813.8,0
25,82148,81028.1,0
26,82148,81478.7,0
27,82148,82148,0
28,82148,82148,0
29,82148,82148,0
30,82148,82148,0
31,82148,82148,0
32,82148,82148,0
33,82148,82148,0
34,82148,82148,0
35,82148,82148,0
36,82148,82148,0
37,82148,82148,0
38,82148,82148,0
39,82148,82148,0
40,82148,82148,0
41,82148,82148,0
42,82148,82148,0
43,82148,82148,0
44,82148,82148,0
45,82148,82148,0
46,82148,82148,0
47,82148,82148,0
48,82148,82148,0
