type,measured_time,variable_number,clauses_number,average_error,population_size,tournament_size,num_elites,num_generations,parameter_changed,max_attempts,mutation_rate,crossover_rate
N,15,20,78,0,250,2,3,200,none,50,0.03,0.9
N,75,50,201,0,250,2,3,200,none,50,0.03,0.9
N,326,75,310,0,250,2,3,200,none,50,0.03,0.9
M,11,20,78,0,250,2,3,200,none,50,0.03,0.9
M,75,50,201,0,250,2,3,200,none,50,0.03,0.9
M,320,75,310,0,250,2,3,200,none,50,0.03,0.9
A,55,20,88,0,250,2,3,200,none,50,0.03,0.9
A,367,20,91,0,250,2,3,200,none,50,0.03,0.9
A,1401,100,430,0,250,2,3,200,none,50,0.03,0.9
Q,12,20,78,0,250,2,3,200,none,50,0.03,0.9
Q,142,50,201,0,250,2,3,200,none,50,0.03,0.9
Q,2709,75,310,0,250,2,3,200,none,50,0.03,0.9
R,12,20,78,0,250,2,3,200,none,50,0.03,0.9
R,127,50,201,0,250,2,3,200,none,50,0.03,0.9
R,1652,75,310,0,250,2,3,200,none,50,0.03,0.9
