generation,best_fitness,average_fitness,optimal_solution
0,48,-0.902,107
1,48,-0.804,107
2,48,-0.804,107
3,48,-0.706,107
4,48,-0.706,107
5,48,-0.706,107
6,48,-0.51,107
7,48,-0.606,107
8,49,-0.506,107
9,49,-0.404,107
10,49,-0.314,107
11,49,-0.402,107
12,49,-0.402,107
13,49,-0.404,107
14,49,-0.102,107
15,49,-0.012,107
16,49,0.276,107
17,49,-0.212,107
18,49,-0.312,107
19,49,-0.3,107
20,49,-0.6,107
21,49,-0.4,107
22,49,-0.5,107
23,49,-0.5,107
24,49,-0.396,107
25,52,-0.588,107
26,52,-0.6,107
27,52,-0.582,107
28,52,-0.364,107
29,52,-0.47,107
30,52,-0.052,107
31,52,0.476,107
32,52,0.786,107
33,52,0.27,107
34,52,-0.048,107
35,52,0.06,107
36,52,0.06,107
37,52,0.058,107
38,52,-0.156,107
39,52,0.052,107
40,52,-0.16,107
41,52,0.138,107
42,52,0.456,107
43,52,0.462,107
44,52,0.458,107
45,52,0.888,107
46,52,1.31,107
47,52,0.892,107
48,52,1.092,107
49,52,0.45,107
