generation,best_fitness,average_fitness,optimal_solution
0,6113,529.534,6403
1,6113,813.844,6403
2,6113,1107.78,6403
3,6302,1677.48,6403
4,6302,2391.97,6403
5,6302,2658.29,6403
6,6302,2931.6,6403
7,6352,3101.44,6403
8,6352,3261.2,6403
9,6352,3514.18,6403
10,6403,3479.04,6403
11,6403,3226.81,6403
12,6403,3434.1,6403
13,6403,2978.82,6403
14,6403,3160.11,6403
15,6403,3080.84,6403
16,6403,3028.26,6403
17,6403,2897.53,6403
18,6403,2786.86,6403
19,6403,2458.46,6403
20,6403,2581.39,6403
21,6403,2768.58,6403
22,6403,2615.42,6403
23,6403,2257.05,6403
24,6403,2450.27,6403
25,6403,2355.18,6403
26,6403,2163.19,6403
27,6403,2350.1,6403
28,6403,2496.58,6403
29,6403,2609.83,6403
30,6403,2512.72,6403
31,6403,2268.66,6403
32,6403,2340.69,6403
33,6403,2380.75,6403
34,6403,2394.69,6403
35,6403,2520,6403
36,6403,2386.7,6403
37,6403,2292.19,6403
38,6403,2366.66,6403
39,6403,2225.06,6403
40,6403,2290.66,6403
41,6403,2489.98,6403
42,6403,2479.16,6403
43,6403,2275.95,6403
44,6403,2459.78,6403
45,6403,2279.7,6403
46,6403,2531.63,6403
47,6403,2509.01,6403
48,6403,2602.47,6403
49,6403,2520.51,6403
