generation,best_fitness,average_fitness,optimal_solution
0,38463,3840.04,43759
1,38645,4424,43759
2,38858,6600.49,43759
3,41440,10261.9,43759
4,41779,14345.4,43759
5,43074,17148.1,43759
6,43074,19582,43759
7,43759,21209.2,43759
8,43759,22021.3,43759
9,43759,22363.4,43759
10,43759,23245.3,43759
11,43759,23443.3,43759
12,43759,22800,43759
13,43759,21921.4,43759
14,43759,19738.5,43759
15,43759,19770,43759
16,43759,18698,43759
17,43759,17931,43759
18,43759,17573.4,43759
19,43759,19594.6,43759
20,43759,17550.8,43759
21,43759,16381.5,43759
22,43759,17824.6,43759
23,43759,15981.5,43759
24,43759,16788.6,43759
25,43759,15461.3,43759
26,43759,16014.4,43759
27,43759,16306.9,43759
28,43759,17319.4,43759
29,43759,18592.8,43759
30,43759,17424.5,43759
31,43759,18976,43759
32,43759,18355.8,43759
33,43759,17573.1,43759
34,43759,17408.4,43759
35,43759,17238.2,43759
36,43759,15515.3,43759
37,43759,16706.5,43759
38,43759,17908.2,43759
39,43759,17128.7,43759
40,43759,16282.8,43759
41,43759,16084.8,43759
42,43759,15945.1,43759
43,43759,16833.8,43759
44,43759,14630.4,43759
45,43759,17167.1,43759
46,43759,18757.7,43759
47,43759,16352.7,43759
48,43759,15312,43759
49,43759,17158.7,43759
