generation,best_fitness,average_fitness,optimal_solution
0,1203,110.174,1574
1,1203,138.538,1574
2,1203,178.904,1574
3,1203,224.576,1574
4,1203,280.61,1574
5,1337,322.054,1574
6,1337,391.832,1574
7,1337,463.994,1574
8,1384,501.414,1574
9,1384,508.61,1574
10,1440,540.312,1574
11,1574,590.946,1574
12,1574,594.782,1574
13,1574,587.166,1574
14,1574,612.25,1574
15,1574,626.43,1574
16,1574,598.45,1574
17,1574,625.448,1574
18,1574,652.634,1574
19,1574,534.292,1574
20,1574,539.716,1574
21,1574,553.01,1574
22,1574,547.358,1574
23,1574,556.19,1574
24,1574,509.134,1574
25,1574,533.95,1574
26,1574,625.84,1574
27,1574,596.882,1574
28,1574,625.442,1574
29,1574,651.966,1574
30,1574,619.884,1574
31,1574,592.704,1574
32,1574,575.102,1574
33,1574,610.352,1574
34,1574,647.368,1574
35,1574,586.072,1574
36,1574,561.704,1574
37,1574,549.1,1574
38,1574,594.772,1574
39,1574,573.226,1574
40,1574,569.132,1574
41,1574,594.05,1574
42,1574,631.418,1574
43,1574,645.978,1574
44,1574,597.226,1574
45,1574,576.416,1574
46,1574,584.068,1574
47,1574,542.5,1574
48,1574,557.024,1574
49,1574,545.606,1574
