generation,best_fitness,average_fitness,optimal_solution
0,60580,5439.17,78800
1,60580,6435.7,78800
2,64004,8407.24,78800
3,64004,11347,78800
4,67572,14084,78800
5,67572,16795.3,78800
6,69318,18617.6,78800
7,74282,21200.5,78800
8,78800,25422.1,78800
9,78800,26164.5,78800
10,78800,28133.2,78800
11,78800,29331.2,78800
12,78800,31272.8,78800
13,78800,27856.5,78800
14,78800,26773.6,78800
15,78800,29138,78800
16,78800,28270.7,78800
17,78800,28087.1,78800
18,78800,28602.1,78800
19,78800,29163.3,78800
20,78800,27024.2,78800
21,78800,25132.7,78800
22,78800,30465.8,78800
23,78800,27642.1,78800
24,78800,28042.3,78800
25,78800,26569.5,78800
26,78800,28099.2,78800
27,78800,28863.9,78800
28,78800,26524.8,78800
29,78800,26038.6,78800
30,78800,27888,78800
31,78800,28011.4,78800
32,78800,28694,78800
33,78800,28874.2,78800
34,78800,29517.6,78800
35,78800,29311.8,78800
36,78800,29556.1,78800
37,78800,33599.7,78800
38,78800,25985.6,78800
39,78800,26943.9,78800
40,78800,29193.6,78800
41,78800,27884,78800
42,78800,27101.3,78800
43,78800,27550.9,78800
44,78800,30763.6,78800
45,78800,31697.7,78800
46,78800,29573.5,78800
47,78800,27502.9,78800
48,78800,31780.3,78800
49,78800,29749.9,78800
