generation,best_fitness,average_fitness,optimal_solution
0,329696,5943.7,0
1,348517,23654.5,0
2,348517,69381.3,0
3,351253,135791,0
4,353628,180103,0
5,357298,181417,0
6,366337,188626,0
7,366430,197311,0
8,366528,192834,0
9,366528,200760,0
10,370257,196337,0
11,370257,198514,0
12,370257,201972,0
13,371104,199208,0
14,374709,201030,0
15,374709,202914,0
16,374709,197360,0
17,374709,199929,0
18,374709,203547,0
19,374709,203305,0
20,375961,203833,0
21,375961,196228,0
22,375961,200066,0
23,375961,201778,0
24,375961,202335,0
25,375961,202627,0
26,375961,203033,0
27,375961,200254,0
28,375961,203012,0
29,375961,201022,0
30,375961,205219,0
31,375961,203788,0
32,375961,201455,0
33,375961,202047,0
34,375961,200589,0
35,375961,203091,0
36,375961,200022,0
37,375961,197503,0
38,375961,202869,0
39,375961,202958,0
40,375961,199155,0
41,375961,204207,0
42,375961,195814,0
43,375961,206731,0
44,375961,198558,0
45,375961,202600,0
46,375961,201834,0
47,375961,206329,0
48,375961,204020,0
49,375961,203609,0
50,375961,202079,0
51,375961,199321,0
52,375961,202239,0
53,375961,202120,0
54,375961,204084,0
55,375961,201831,0
56,375961,202513,0
57,375961,207074,0
58,375961,197481,0
59,375961,202753,0
60,375961,205031,0
61,375961,205036,0
62,375961,205273,0
63,375961,199055,0
64,375961,204380,0
65,375961,205876,0
66,375961,204963,0
67,375961,200044,0
68,375961,203336,0
69,375961,201726,0
70,375961,203807,0
71,375961,204530,0
72,375961,203025,0
73,375961,205942,0
74,375961,203679,0
75,375961,202147,0
76,375961,203125,0
77,375961,203830,0
78,375961,200527,0
79,375961,201314,0
80,375961,203089,0
81,375961,205498,0
82,375961,202645,0
83,375961,200720,0
84,375961,200524,0
85,375961,198527,0
86,375961,203778,0
87,375961,200766,0
88,375961,203859,0
89,375961,206184,0
90,375961,200345,0
91,375961,203070,0
92,375961,203534,0
93,375961,200674,0
94,375961,204624,0
95,375961,201056,0
96,375961,205871,0
97,375961,203815,0
98,375961,201331,0
99,375961,203481,0
100,375961,201788,0
101,375961,204550,0
102,375961,202001,0
103,375961,203958,0
104,375961,201227,0
105,375961,202501,0
106,375961,200423,0
107,375961,201720,0
108,375961,204432,0
109,375961,204698,0
110,375961,204676,0
111,375961,205621,0
112,375961,205869,0
113,375961,206148,0
114,375961,204028,0
115,375961,202730,0
116,375961,200842,0
117,375961,205790,0
118,375961,200612,0
119,375961,208334,0
120,375961,198111,0
121,375961,197941,0
122,375961,198798,0
123,375961,201298,0
124,375961,201180,0
125,375961,201676,0
126,375961,206160,0
127,375961,202446,0
128,375961,202464,0
129,375961,199864,0
130,375961,199297,0
131,375961,208580,0
132,375961,206501,0
133,375961,206342,0
134,375961,206128,0
135,375961,205694,0
136,375961,204437,0
137,375961,206576,0
138,375961,202463,0
139,375961,203948,0
140,375961,207226,0
141,375961,201983,0
142,375961,203743,0
143,375961,203405,0
144,375961,206236,0
145,375961,204755,0
146,375961,201154,0
147,375961,203494,0
148,375961,199784,0
149,375961,202149,0
150,375961,200928,0
151,375961,203680,0
152,375961,199205,0
153,375961,204756,0
154,375961,208466,0
155,375961,204040,0
156,375961,198769,0
157,375961,199749,0
158,375961,198871,0
159,375961,201512,0
160,375961,201550,0
161,375961,201147,0
162,375961,198570,0
163,375961,200708,0
164,375961,199735,0
165,375961,205486,0
166,375961,202707,0
167,375961,205444,0
168,375961,203293,0
169,375961,205800,0
170,375961,203230,0
171,375961,201845,0
172,375961,206148,0
173,375961,206462,0
174,375961,202996,0
175,375961,199977,0
176,375961,207925,0
177,375961,208751,0
178,375961,203649,0
179,375961,206936,0
180,375961,199862,0
181,375961,201973,0
182,375961,204561,0
183,375961,205045,0
184,375961,203577,0
185,375961,205885,0
186,375961,199622,0
187,375961,203733,0
188,375961,205353,0
189,375961,203919,0
190,375961,204779,0
191,375961,202952,0
192,375961,199618,0
193,375961,201407,0
194,375961,201684,0
195,375961,202461,0
196,375961,203168,0
197,375961,202487,0
198,375961,198967,0
199,375961,200819,0
200,375961,202126,0
201,375961,200384,0
202,375961,201764,0
203,375961,206066,0
204,375961,204467,0
205,375961,202677,0
206,375961,205307,0
207,375961,205504,0
208,375961,201258,0
209,375961,198543,0
210,375961,196750,0
211,375961,202322,0
212,375961,201723,0
213,375961,204686,0
214,375961,204873,0
215,375961,199433,0
216,375961,201836,0
217,375961,205065,0
218,375961,203018,0
219,375961,203833,0
220,375961,202791,0
221,375961,206759,0
222,375961,201044,0
223,375961,203853,0
224,375961,203795,0
225,375961,206509,0
226,375961,200148,0
227,375961,201676,0
228,375961,202464,0
229,375961,202521,0
230,375961,201650,0
231,375961,202939,0
232,375961,202451,0
233,375961,202251,0
234,375961,203382,0
235,375961,203648,0
236,375961,201198,0
237,375961,203235,0
238,375961,204257,0
239,375961,200667,0
240,375961,205382,0
241,375961,198538,0
242,375961,205690,0
243,375961,201033,0
244,375961,203453,0
245,375961,198177,0
246,375961,196531,0
247,375961,202142,0
248,375961,202140,0
249,375961,200531,0
250,375961,203986,0
251,375961,197007,0
252,375961,201342,0
253,375961,203383,0
254,375961,204318,0
255,375961,203567,0
256,375961,201621,0
257,375961,200210,0
258,375961,204364,0
259,375961,208602,0
260,375961,206763,0
261,375961,202092,0
262,375961,202835,0
263,375961,201302,0
264,375961,199527,0
265,375961,204916,0
266,375961,204106,0
267,375961,203947,0
268,375961,196747,0
269,375961,199691,0
270,375961,204443,0
271,375961,202542,0
272,375961,201843,0
273,375961,201309,0
274,375961,205116,0
275,375961,204618,0
276,375961,202717,0
277,375961,204608,0
278,375961,204302,0
279,375961,199694,0
280,375961,202704,0
281,375961,201473,0
282,375961,204686,0
283,375961,203677,0
284,375961,203955,0
285,375961,205019,0
286,375961,203163,0
287,375961,206715,0
288,375961,199290,0
289,375961,200246,0
